State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Bagalkot,Bagalakot,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,17/01/2025,2500,7155,6208,49
Karnataka,Bagalkot,Bagalakot,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,23/01/2025,3000,7069,5910,49
Karnataka,Bagalkot,Bagalakot,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,24/01/2025,2200,7059,6005,49
Karnataka,Bagalkot,Bagalakot,Rice,"Pusa Basmati Raw (New)",FAQ,17/01/2025,2970,2970,2970,3
Karnataka,Bagalkot,Bagalakot,Groundnut,Gejje,FAQ,15/01/2025,3070,6300,5774,10
Karnataka,Bagalkot,Bagalakot,Groundnut,Gejje,FAQ,28/01/2025,3010,5410,5069,10
Karnataka,Bagalkot,Bagalakot,Groundnut,Gejje,"Ref grade-1",31/01/2025,4511,5555,5128,10
Karnataka,Bagalkot,Bagalakot,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,07/01/2025,6894,6903,6899,6
Karnataka,Bagalkot,Bagalakot,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,09/01/2025,6022,6031,6024,6
Karnataka,Bagalkot,Bagalakot,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,24/01/2025,5741,5849,5783,6
Karnataka,Bagalkot,Bagalakot,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,27/01/2025,5601,5869,5831,6
Karnataka,Bagalkot,Bagalakot,"Bengal Gram(Gram)(Whole)","Average (Whole)","Ref grade-1",31/01/2025,5569,5859,5789,6
Karnataka,Bagalkot,Bagalakot,Maize,Hybrid/Local,FAQ,08/01/2025,2269,2411,2356,4
Karnataka,Bagalkot,Bagalakot,Maize,Hybrid/Local,FAQ,16/01/2025,2220,2351,2292,4
Karnataka,Bagalkot,Bagalakot,Maize,Hybrid/Local,"Ref grade-1",31/01/2025,1850,2309,2245,4
Karnataka,Bagalkot,Bagalakot,Soyabean,Soyabeen,FAQ,11/01/2025,4300,4300,4300,13
Karnataka,Bagalkot,Bagalakot,Sunflower,Sunflower,FAQ,16/01/2025,5800,5800,5800,14
Karnataka,Bagalkot,Bagalakot,Sunflower,Sunflower,FAQ,21/01/2025,3809,4889,4202,14
Karnataka,Bagalkot,Bagalakot,Sunflower,Sunflower,FAQ,10/01/2025,5960,6009,5989,14
Karnataka,Bagalkot,Bagalakot,Sunflower,Sunflower,FAQ,27/01/2025,3811,4011,3885,14
Karnataka,Bagalkot,Mhalingapur,Gur(Jaggery),Nizamabad,FAQ,03/01/2025,3660,3825,3750,74
Karnataka,Bagalkot,Bagalakot,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,30/01/2025,2248,2539,2362,28
Karnataka,Bagalkot,Bagalakot,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,09/01/2025,2260,2609,2407,28
Karnataka,Bagalkot,Bagalakot,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,17/01/2025,2000,2551,2292,28
Karnataka,Bagalkot,Bagalakot,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,23/01/2025,2150,2511,2302,28
Karnataka,Bagalkot,Bagalakot,Onion,Onion,FAQ,04/01/2025,1200,4000,3000,23
Karnataka,Bagalkot,Bagalakot,Onion,Onion,FAQ,11/01/2025,500,3000,2000,23
Karnataka,Bagalkot,Bagalakot,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,27/01/2025,2215,2519,2341,28
Karnataka,Bagalkot,Bagalakot,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,08/01/2025,2000,7929,7119,49
Karnataka,Bagalkot,Bagalakot,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)","Ref grade-1",31/01/2025,2059,6666,5672,49
Karnataka,Bagalkot,Bagalakot,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,22/01/2025,2001,7059,6158,49
Karnataka,Bagalkot,Bagalakot,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,30/01/2025,2559,6819,5534,49
Karnataka,Bagalkot,Bagalakot,Jowar(Sorghum),"Jowar Hybrid",FAQ,01/03/2025,1800,1800,1800,5
Karnataka,Bagalkot,Bagalakot,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,05/04/2025,2225,2228,2226,28
Karnataka,Bagalkot,Bagalakot,"Cowpea (Lobia/Karamani)","Cowpea (Whole)",FAQ,13/02/2025,7191,7191,7191,92
Karnataka,Bagalkot,Bagalakot,"Cowpea (Lobia/Karamani)","Cowpea (Whole)",FAQ,24/02/2025,7113,7351,7230,92
Karnataka,Bagalkot,Bagalakot,"Cowpea (Lobia/Karamani)","Cowpea (Whole)",FAQ,28/02/2025,7371,7371,7371,92
Karnataka,Bagalkot,Bagalakot,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,13/02/2025,2000,2160,2152,28
Karnataka,Bagalkot,Bagalakot,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,21/02/2025,2199,2319,2282,28
