State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Belgaum,Ramdurga,Goat,Goat,FAQ,23/02/2025,3000,7200,6100,219
Karnataka,Belgaum,Ramdurga,Sheep,"Sheep Medium",FAQ,16/02/2025,3200,7900,6100,218
Karnataka,Belgaum,Nippani,Cow,Cow,FAQ,03/01/2025,42000,42000,42000,212
Karnataka,Belgaum,Nippani,Cow,Cow,FAQ,24/01/2025,35000,85000,75000,212
Karnataka,Belgaum,Nippani,Cow,Cow,"Ref grade-1",31/01/2025,40000,90000,80000,212
Karnataka,Belgaum,Ramdurga,Cow,Cow,FAQ,12/01/2025,65000,65000,65000,212
Karnataka,Belgaum,Ramdurga,Ox,Ox,FAQ,19/01/2025,34000,34000,34000,213
Karnataka,Belgaum,Ramdurga,Sheep,"Sheep Medium",FAQ,12/01/2025,3000,8000,7500,218
Karnataka,Belgaum,Nippani,"She Buffalo","She Baffelo","Ref grade-1",31/01/2025,20000,95000,70000,217
Karnataka,Belgaum,Ramdurga,"She Buffalo","She Baffelo",FAQ,19/01/2025,40000,60000,55000,217
Karnataka,Belgaum,Bailahongal,Cotton,LD-327,FAQ,21/02/2025,6150,7000,6500,15
Karnataka,Belgaum,Bailahongal,"Bengal Gram(Gram)(Whole)",Jawari/Local,FAQ,15/02/2025,5300,5850,5750,6
Karnataka,Belgaum,Bailahongal,"Bengal Gram(Gram)(Whole)",Jawari/Local,FAQ,24/02/2025,5420,5625,5600,6
Karnataka,Belgaum,Bailahongal,"Bengal Gram(Gram)(Whole)",Jawari/Local,FAQ,26/02/2025,5200,5590,5500,6
Karnataka,Belgaum,Belgaum,Gur(Jaggery),Mudde,FAQ,08/02/2025,3800,4500,4100,74
Karnataka,Belgaum,Belgaum,Gur(Jaggery),Mudde,FAQ,19/02/2025,3800,4500,4100,74
Karnataka,Belgaum,Belgaum,Gur(Jaggery),Mudde,FAQ,27/02/2025,3800,4500,4100,74
Karnataka,Belgaum,Kudchi,Gur(Jaggery),Yellow,"Ref grade-1",06/02/2025,3550,3800,3600,74
Karnataka,Belgaum,Bailahongal,Maize,Hybrid/Local,FAQ,28/02/2025,2000,2347,2300,4
Karnataka,Belgaum,Kudchi,Maize,Hybrid/Local,FAQ,20/02/2025,2200,2400,2300,4
Karnataka,Belgaum,Sankeshwar,Maize,Hybrid/Local,FAQ,13/02/2025,2100,2390,2300,4
Karnataka,Belgaum,Sankeshwar,Maize,Hybrid/Local,FAQ,19/02/2025,2000,2200,2150,4
Karnataka,Belgaum,Sankeshwar,Maize,Hybrid/Local,FAQ,26/02/2025,2000,2100,2050,4
Karnataka,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,13/02/2025,3720,4170,4000,13
Karnataka,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,19/02/2025,3840,4170,4120,13
Karnataka,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,24/02/2025,3700,4200,4050,13
Karnataka,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,11/02/2025,4000,4100,4050,13
Karnataka,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,19/02/2025,4000,4100,4050,13
Karnataka,Belgaum,Belgaum,Onion,Pusa-Red,FAQ,08/02/2025,1000,3400,3000,23
Karnataka,Belgaum,Belgaum,Onion,Pusa-Red,FAQ,22/02/2025,1000,3000,2700,23
Karnataka,Belgaum,Belgaum,Jowar(Sorghum),"Jowar ( White)",FAQ,20/02/2025,3000,5200,4500,5
Karnataka,Belgaum,Belgaum,Jowar(Sorghum),"Jowar ( White)","Ref grade-1",01/02/2025,3000,5200,4500,5
Karnataka,Belgaum,Sankeshwar,Maize,Hybrid/Local,FAQ,10/02/2025,2000,2200,2100,4
Karnataka,Belgaum,Sankeshwar,Wheat,H.D.,FAQ,29/01/2025,3000,3260,3200,1
Karnataka,Belgaum,Sankeshwar,Wheat,Other,FAQ,24/01/2025,3200,3575,3500,1
Karnataka,Belgaum,Sankeshwar,Rice,Other,FAQ,20/01/2025,5000,5685,5500,3
Karnataka,Belgaum,Nippani,Cow,Cow,FAQ,21/02/2025,35000,92000,80000,212
Karnataka,Belgaum,Ramdurga,Ox,Ox,"Ref grade-1",02/02/2025,30000,45000,40000,213
Karnataka,Belgaum,Kudchi,"She Buffalo","She Baffelo",FAQ,20/02/2025,69000,75000,70000,217
Karnataka,Belgaum,Belgaum,Potato,Local,FAQ,07/02/2025,1500,2200,1800,24
Karnataka,Belgaum,Belgaum,Potato,Local,FAQ,11/02/2025,1500,2500,2000,24
Karnataka,Belgaum,Belgaum,Potato,Local,FAQ,15/02/2025,1500,2100,1800,24
Karnataka,Belgaum,Belgaum,Potato,Local,FAQ,27/02/2025,1500,2200,1800,24
Karnataka,Belgaum,Belgaum,Potato,Local,"Ref grade-1",04/02/2025,1500,2200,2000,24
Karnataka,Belgaum,Ramdurga,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)","Ref grade-1",05/02/2025,4769,5869,5697,49
Karnataka,Belgaum,Ramdurga,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,28/03/2025,2379,2379,2379,28
Karnataka,Belgaum,Ramdurga,"Bajra(Pearl Millet/Cumbu)",Local,FAQ,29/03/2025,2270,2270,2270,28
Karnataka,Belgaum,Ramdurga,"Bengal Gram(Gram)(Whole)",Other,FAQ,13/03/2025,5359,5509,5443,6
Karnataka,Belgaum,Belgaum,Jowar(Sorghum),"Jowar ( White)",FAQ,01/03/2025,3000,5000,4500,5
Karnataka,Belgaum,Ramdurga,Groundnut,Gejje,FAQ,26/03/2025,5079,5079,5079,10
Karnataka,Belgaum,Belgaum,Gur(Jaggery),Mudde,FAQ,01/03/2025,3800,4500,4100,74
Karnataka,Belgaum,Sankeshwar,Gur(Jaggery),Nizamabad,FAQ,27/03/2025,3500,3868,3750,74
Karnataka,Belgaum,Ramdurga,Ox,Ox,FAQ,30/03/2025,30000,37000,35000,213
Karnataka,Belgaum,Kudchi,Maize,Hybrid/Local,FAQ,27/03/2025,0,0,2300,4
Karnataka,Belgaum,Sankeshwar,Maize,Hybrid/Local,FAQ,01/03/2025,2000,2200,2100,4
Karnataka,Belgaum,Sankeshwar,Maize,Hybrid/Local,FAQ,12/03/2025,0,0,2318,4
Karnataka,Belgaum,Sankeshwar,Maize,Hybrid/Local,FAQ,14/03/2025,0,0,2394,4
Karnataka,Belgaum,Sankeshwar,Maize,Hybrid/Local,FAQ,26/03/2025,0,0,2300,4
Karnataka,Belgaum,Bailahongal,"Bengal Gram(Gram)(Whole)",Jawari/Local,FAQ,01/03/2025,5320,5765,5700,6
Karnataka,Belgaum,Kudchi,Wheat,White,FAQ,10/03/2025,3550,3700,3600,1
Karnataka,Belgaum,Sankeshwar,Wheat,Other,FAQ,24/03/2025,3000,3162,3100,1
Karnataka,Belgaum,Belgaum,Potato,Local,FAQ,01/03/2025,1500,2200,1800,24
Karnataka,Belgaum,Belgaum,Onion,Pusa-Red,FAQ,01/03/2025,1000,3000,2500,23
Karnataka,Belgaum,Ramdurga,"Cowpea (Lobia/Karamani)","Cowpea (Whole)",FAQ,21/03/2025,6509,6509,6509,92
Karnataka,Belgaum,Kudchi,Gur(Jaggery),Yellow,FAQ,18/01/2025,3600,3800,3700,74
Karnataka,Belgaum,Sankeshwar,Gur(Jaggery),Nizamabad,FAQ,22/01/2025,3600,3873,3750,74
Karnataka,Belgaum,Bailahongal,"Bengal Gram(Gram)(Whole)",Jawari/Local,FAQ,11/01/2025,5980,6500,6400,6
Karnataka,Belgaum,Bailahongal,"Bengal Gram(Gram)(Whole)",Jawari/Local,FAQ,20/01/2025,5400,5950,5778,6
Karnataka,Belgaum,Sankeshwar,"Bengal Gram(Gram)(Whole)",Jawari/Local,FAQ,03/01/2025,5800,6000,5900,6
Karnataka,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,18/01/2025,4000,4100,4050,13
Karnataka,Belgaum,Belgaum,Onion,Pusa-Red,FAQ,02/01/2025,1000,3500,3000,23
Karnataka,Belgaum,Belgaum,Onion,Pusa-Red,FAQ,06/01/2025,1000,4000,3200,23
Karnataka,Belgaum,Belgaum,Potato,Local,FAQ,03/01/2025,1000,2500,2000,24
Karnataka,Belgaum,Belgaum,Potato,Local,FAQ,16/01/2025,1500,2500,2000,24
Karnataka,Belgaum,Bailahongal,Soyabean,Soyabeen,"Ref grade-1",30/01/2025,3750,4150,4056,13
Karnataka,Belgaum,Ramdurga,"Bengal Gram(Gram)(Whole)",Other,FAQ,29/01/2025,5409,5619,5524,6
Karnataka,Belgaum,Kudchi,Maize,Hybrid/Local,FAQ,03/01/2025,2200,2400,2300,4
Karnataka,Belgaum,Kudchi,Maize,Hybrid/Local,FAQ,17/01/2025,2200,2400,2300,4
Karnataka,Belgaum,Ramdurga,Maize,Local,FAQ,26/01/2025,2200,2200,2200,4
Karnataka,Belgaum,Sankeshwar,Maize,Hybrid/Local,FAQ,01/01/2025,2000,2200,2100,4
Karnataka,Belgaum,Sankeshwar,Maize,Hybrid/Local,FAQ,02/01/2025,2000,2255,2200,4
Karnataka,Belgaum,Sankeshwar,Maize,Hybrid/Local,FAQ,04/01/2025,2100,2400,2300,4
Karnataka,Belgaum,Sankeshwar,Maize,Hybrid/Local,FAQ,07/01/2025,2100,2300,2184,4
Karnataka,Belgaum,Sankeshwar,Maize,Hybrid/Local,FAQ,10/01/2025,2000,2200,2100,4
Karnataka,Belgaum,Sankeshwar,Maize,Hybrid/Local,FAQ,16/01/2025,2000,2250,2150,4
Karnataka,Belgaum,Sankeshwar,Maize,Hybrid/Local,FAQ,27/01/2025,2100,2300,2200,4
Karnataka,Belgaum,Bailahongal,Cotton,LD-327,FAQ,01/01/2025,8500,10900,10300,15
Karnataka,Belgaum,Bailahongal,Cotton,LD-327,FAQ,23/01/2025,6220,6780,6593,15
Karnataka,Belgaum,Bailahongal,Cotton,"Varalakshmi  (Ginned)",FAQ,04/01/2025,8500,10300,10000,15
Karnataka,Belgaum,Belgaum,"Sweet Potato","Sweet Potato",FAQ,02/01/2025,1500,2000,1800,152
Karnataka,Belgaum,Belgaum,"Sweet Potato","Sweet Potato",FAQ,22/01/2025,1000,1800,1500,152
Karnataka,Belgaum,Belgaum,"Sweet Potato","Sweet Potato","Ref grade-1",29/01/2025,1000,1700,1500,152
Karnataka,Belgaum,Kudchi,Maize,Hybrid/Local,FAQ,03/04/2025,0,0,2300,4
Karnataka,Belgaum,Kudchi,Maize,Hybrid/Local,FAQ,24/04/2025,0,0,2300,4
Karnataka,Belgaum,Ramdurga,Maize,Local,FAQ,19/04/2025,2259,2279,2271,4
Karnataka,Belgaum,Ramdurga,Maize,Local,FAQ,26/04/2025,1969,2269,2255,4
Karnataka,Belgaum,Sankeshwar,Maize,Hybrid/Local,FAQ,07/04/2025,0,0,2292,4
Karnataka,Belgaum,Sankeshwar,Maize,Hybrid/Local,FAQ,29/04/2025,0,0,2350,4
Karnataka,Belgaum,Sankeshwar,Rice,Other,FAQ,29/04/2025,5000,5173,5100,3
Karnataka,Belgaum,Kudchi,Sunflower,Sunflower,FAQ,17/04/2025,0,0,5000,14
Karnataka,Belgaum,Ramdurga,Groundnut,Gejje,FAQ,24/04/2025,5001,6611,5677,10
Karnataka,Belgaum,Ramdurga,Wheat,Local,FAQ,10/04/2025,2789,2789,2789,1
Karnataka,Belgaum,Sankeshwar,Wheat,Other,FAQ,24/04/2025,3000,3150,3100,1
Karnataka,Belgaum,Nippani,"Tender Coconut","Tender Coconut",Small,17/04/2025,25000,25000,25000,200
Karnataka,Belgaum,Ramdurga,Ox,Ox,FAQ,13/04/2025,27000,35000,30000,213
Karnataka,Belgaum,Ramdurga,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,09/04/2025,2379,2379,2379,28
Karnataka,Belgaum,Ramdurga,"Bajra(Pearl Millet/Cumbu)",Local,FAQ,12/04/2025,2239,2269,2264,28
Karnataka,Belgaum,Sankeshwar,Gur(Jaggery),Nizamabad,FAQ,11/04/2025,3500,3753,3600,74
Karnataka,Belgaum,Bailahongal,"Bengal Gram(Gram)(Whole)",Jawari/Local,FAQ,24/04/2025,5420,6096,5890,6
Karnataka,Belgaum,Bailahongal,"Bengal Gram(Gram)(Whole)",Jawari/Local,FAQ,17/04/2025,5480,6000,5940,6
Karnataka,Belgaum,Bailahongal,"Bengal Gram(Gram)(Whole)",Jawari/Local,FAQ,23/04/2025,5240,5800,5650,6
Karnataka,Belgaum,Ramdurga,"Bengal Gram(Gram)(Whole)",Other,FAQ,04/04/2025,5907,5907,5907,6
Karnataka,Belgaum,Ramdurga,"Bengal Gram(Gram)(Whole)",Other,FAQ,11/04/2025,5789,5789,5789,6
Karnataka,Belgaum,Ramdurga,"Bengal Gram(Gram)(Whole)",Other,FAQ,26/04/2025,5769,5769,5769,6
Karnataka,Belgaum,Bailahongal,"Bengal Gram(Gram)(Whole)",Jawari/Local,FAQ,19/05/2025,5420,6000,5920,6
Karnataka,Belgaum,Bailahongal,"Bengal Gram(Gram)(Whole)",Jawari/Local,FAQ,30/05/2025,5240,6000,5870,6
Karnataka,Belgaum,Ramdurga,"Bengal Gram(Gram)(Whole)",Other,FAQ,08/05/2025,5609,5609,5609,6
Karnataka,Belgaum,Ramdurga,"Bengal Gram(Gram)(Whole)",Other,FAQ,19/05/2025,5469,5469,5469,6
Karnataka,Belgaum,Kudchi,Maize,Hybrid/Local,FAQ,06/05/2025,0,0,2200,4
Karnataka,Belgaum,Kudchi,Maize,Hybrid/Local,FAQ,28/05/2025,0,0,2300,4
Karnataka,Belgaum,Ramdurga,Maize,Local,FAQ,29/05/2025,2170,2179,2174,4
Karnataka,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,17/05/2025,0,0,4200,13
Karnataka,Belgaum,Sankeshwar,Rice,Other,FAQ,27/05/2025,3900,4450,4350,3
Karnataka,Belgaum,Sankeshwar,Wheat,Other,FAQ,09/05/2025,2900,3039,3000,1
Karnataka,Belgaum,Kudchi,Maize,Hybrid/Local,FAQ,08/05/2025,0,0,2300,4
Karnataka,Belgaum,Ramdurga,Maize,Local,FAQ,21/05/2025,2169,2169,2169,4
Karnataka,Belgaum,Ramdurga,"She Buffalo","She Baffelo",FAQ,18/05/2025,20000,35000,25000,217
Karnataka,Belgaum,Ramdurga,Ox,Ox,FAQ,18/05/2025,30000,35000,32000,213
Karnataka,Belgaum,Ramdurga,Bull,Bull,FAQ,18/05/2025,45000,45000,45000,214
Karnataka,Belgaum,Ramdurga,Goat,Goat,FAQ,25/05/2025,3200,8500,7800,219
Karnataka,Belgaum,Kudchi,Gur(Jaggery),Nizamabad,FAQ,16/06/2025,3900,4100,4000,74
Karnataka,Belgaum,Kudchi,Gur(Jaggery),Nizamabad,FAQ,21/06/2025,3200,3500,3300,74
Karnataka,Belgaum,Sankeshwar,Gur(Jaggery),Nizamabad,Local,23/07/2025,3800,4100,4050,74
Karnataka,Belgaum,Ramdurga,Sunflower,Sunflower,FAQ,18/06/2025,5239,5239,5239,14
Karnataka,Belgaum,Sankeshwar,Jowar(Sorghum),"Jowar ( White)",FAQ,30/06/2025,0,0,3400,5
Karnataka,Belgaum,Ramdurga,"Bengal Gram(Gram)(Whole)",Other,FAQ,21/06/2025,5759,5759,5759,6
Karnataka,Belgaum,Ramdurga,Groundnut,Gejje,FAQ,16/06/2025,3009,6089,5090,10
Karnataka,Belgaum,Sankeshwar,Rice,Other,FAQ,01/07/2025,2400,2510,2450,3
Karnataka,Belgaum,Sankeshwar,Rice,Other,FAQ,10/06/2025,2400,2600,2550,3
Karnataka,Belgaum,Sankeshwar,Rice,Other,FAQ,30/06/2025,4800,5417,5350,3
Karnataka,Belgaum,Sankeshwar,Rice,Other,Local,01/07/2025,2400,2510,2450,3
Karnataka,Belgaum,Ramdurga,Wheat,Local,Local,02/07/2025,2949,2949,2949,1
Karnataka,Belgaum,Kudchi,Maize,Hybrid/Local,FAQ,23/06/2025,0,0,2300,4
Karnataka,Belgaum,Kudchi,Maize,Hybrid/Local,FAQ,27/06/2025,0,0,2400,4
Karnataka,Belgaum,Kudchi,Maize,Hybrid/Local,Local,09/07/2025,0,0,2300,4
Karnataka,Belgaum,Kudchi,Maize,Hybrid/Local,Local,16/07/2025,0,0,2300,4
Karnataka,Belgaum,Kudchi,Maize,Hybrid/Local,Local,21/07/2025,0,0,2300,4
Karnataka,Belgaum,Ramdurga,Maize,Local,Local,02/07/2025,2250,2250,2250,4
Karnataka,Belgaum,Ramdurga,Maize,Local,"Ref grade-1",06/07/2025,2200,2200,2200,4
Karnataka,Belgaum,Sankeshwar,Maize,Hybrid/Local,FAQ,18/06/2025,0,0,2350,4
Karnataka,Belgaum,Sankeshwar,Maize,Hybrid/Local,Local,14/07/2025,0,0,2400,4
Karnataka,Belgaum,Sankeshwar,Maize,Hybrid/Local,Local,21/07/2025,0,0,2400,4
Karnataka,Belgaum,Bailahongal,"Bengal Gram(Gram)(Whole)",Jawari/Local,FAQ,18/06/2025,5820,6200,6140,6
