State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Bellary,Bellary,"Foxtail Millet(Navane)","Navane Hybrid",FAQ,17/02/2025,2008,3408,2695,121
Karnataka,Bellary,Bellary,"Kulthi(Horse Gram)","Horse gram (Whole)",FAQ,17/02/2025,3239,4052,3771,114
Karnataka,Bellary,Kottur,"Kulthi(Horse Gram)","Horse gram (Whole)",FAQ,10/02/2025,3656,3756,3736,114
Karnataka,Bellary,Kottur,"Kulthi(Horse Gram)","Horse gram (Whole)",FAQ,14/02/2025,3401,3401,3401,114
Karnataka,Bellary,Kottur,"Kulthi(Horse Gram)","Horse gram (Whole)","Ref grade-1",04/02/2025,3838,3873,3863,114
Karnataka,Bellary,Kottur,Cotton,GCH,FAQ,23/01/2025,5798,5798,5798,15
Karnataka,Bellary,Kottur,Cotton,GCH,FAQ,27/01/2025,4696,5879,5444,15
Karnataka,Bellary,Sirguppa,Cotton,GCH,FAQ,10/01/2025,6500,7100,6860,15
Karnataka,Bellary,Kottur,"Ragi (Finger Millet)",Hybrid,FAQ,02/01/2025,2759,3116,2817,30
Karnataka,Bellary,Kottur,"Ragi (Finger Millet)",Hybrid,FAQ,11/01/2025,3050,3363,3238,30
Karnataka,Bellary,Kottur,"Ragi (Finger Millet)",Hybrid,FAQ,28/01/2025,2905,3521,3117,30
Karnataka,Bellary,Kottur,"Ragi (Finger Millet)",Hybrid,FAQ,24/01/2025,3201,3241,3234,30
Karnataka,Bellary,Kottur,"Ragi (Finger Millet)",Hybrid,FAQ,29/01/2025,3179,3381,3295,30
Karnataka,Bellary,Bellary,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,21/01/2025,2345,2909,2580,28
Karnataka,Bellary,Bellary,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,22/01/2025,2409,2856,2422,28
Karnataka,Bellary,Bellary,"Bajra(Pearl Millet/Cumbu)",Hybrid,"Ref grade-1",30/01/2025,2111,2761,2479,28
Karnataka,Bellary,Kottur,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,09/01/2025,2292,2292,2292,28
Karnataka,Bellary,Kottur,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,20/01/2025,2255,2356,2289,28
Karnataka,Bellary,Sirguppa,Cotton,GCH,"Ref grade-1",31/01/2025,7124,7421,7332,15
Karnataka,Bellary,Bellary,"Bengal Gram(Gram)(Whole)","Average (Whole)","Ref grade-1",30/01/2025,4560,5749,5570,6
