State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Bidar,Bidar,Soyabean,Soyabeen,FAQ,02/01/2025,2200,4275,4039,13
Karnataka,Bidar,Bidar,Soyabean,Soyabeen,FAQ,25/01/2025,3434,4116,3991,13
Karnataka,Bidar,"Basava Kalayana",Jowar(Sorghum),"Jowar ( White)","Ref grade-1",30/01/2025,1700,2800,2500,5
Karnataka,Bidar,"Basava Kalayana","Sesamum(Sesame,Gingelly,Til)",White,FAQ,09/01/2025,9500,11000,9500,11
Karnataka,Bidar,"Basava Kalayana","Sesamum(Sesame,Gingelly,Til)",White,FAQ,10/01/2025,8000,11300,8400,11
Karnataka,Bidar,"Basava Kalayana","Sesamum(Sesame,Gingelly,Til)",White,FAQ,13/01/2025,8400,8400,8400,11
Karnataka,Bidar,"Basava Kalayana","Sesamum(Sesame,Gingelly,Til)",White,FAQ,23/01/2025,7501,9001,7501,11
Karnataka,Bidar,Bidar,"Bengal Gram(Gram)(Whole)",Jawari/Local,FAQ,27/01/2025,5009,5919,5651,6
Karnataka,Bidar,Bidar,Soyabean,Soyabeen,FAQ,07/01/2025,3565,4261,3951,13
Karnataka,Bidar,Bidar,Rice,"Broken Rice",FAQ,22/01/2025,3000,3300,3100,3
Karnataka,Bidar,Bidar,Rice,"CR 1009 (Coarse) Boiled",FAQ,16/01/2025,5700,6500,5800,3
Karnataka,Bidar,Bidar,Rice,"CR 1009 (Coarse) Boiled",FAQ,24/01/2025,5400,6450,5700,3
Karnataka,Bidar,"Basava Kalayana",Jowar(Sorghum),"Jowar ( White)",FAQ,09/01/2025,1800,2910,2300,5
Karnataka,Bidar,"Basava Kalayana",Jowar(Sorghum),"Jowar ( White)",FAQ,11/01/2025,2100,2300,2200,5
Karnataka,Bidar,"Basava Kalayana",Wheat,Medium,FAQ,09/01/2025,3000,3500,3000,1
Karnataka,Bidar,"Basava Kalayana",Wheat,Medium,FAQ,17/01/2025,3891,3891,3891,1
Karnataka,Bidar,"Basava Kalayana",Wheat,Mexican,FAQ,01/01/2025,2800,2800,2800,1
Karnataka,Bidar,"Basava Kalayana",Wheat,Mexican,FAQ,10/01/2025,2700,2700,2700,1
Karnataka,Bidar,"Basava Kalayana",Wheat,Mexican,FAQ,11/01/2025,2900,2900,2900,1
Karnataka,Bidar,"Basava Kalayana",Wheat,Mexican,FAQ,23/01/2025,2631,2631,2631,1
Karnataka,Bidar,"Basava Kalayana",Wheat,Mexican,FAQ,24/01/2025,2401,3200,2921,1
Karnataka,Bidar,"Basava Kalayana",Wheat,Mexican,"Ref grade-1",30/01/2025,1500,2481,1500,1
Karnataka,Bidar,Bidar,"Green Gram (Moong)(Whole)","Green (Whole)",FAQ,24/01/2025,6690,7657,7445,9
Karnataka,Bidar,"Basava Kalayana","Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",FAQ,08/01/2025,4401,4401,4401,8
Karnataka,Bidar,"Basava Kalayana","Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",FAQ,09/01/2025,3800,5101,5000,8
Karnataka,Bidar,"Basava Kalayana","Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,12/02/2025,7100,7320,7260,49
Karnataka,Bidar,"Basava Kalayana","Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,15/02/2025,6451,7600,7300,49
Karnataka,Bidar,"Basava Kalayana","Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,22/02/2025,6700,7530,7250,49
Karnataka,Bidar,"Basava Kalayana","Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,28/02/2025,6500,7350,7100,49
Karnataka,Bidar,"Basava Kalayana",Wheat,Medium,FAQ,20/02/2025,3000,3000,3000,1
Karnataka,Bidar,"Basava Kalayana",Wheat,Medium,FAQ,25/02/2025,3300,3550,3400,1
Karnataka,Bidar,"Basava Kalayana",Wheat,Mexican,FAQ,06/02/2025,2300,2300,2300,1
Karnataka,Bidar,"Basava Kalayana",Wheat,Mexican,FAQ,10/02/2025,2600,2700,2600,1
Karnataka,Bidar,"Basava Kalayana",Wheat,Mexican,FAQ,20/02/2025,2550,2800,2600,1
Karnataka,Bidar,"Basava Kalayana",Wheat,Mexican,FAQ,21/02/2025,2451,2750,2700,1
Karnataka,Bidar,"Basava Kalayana",Wheat,Mexican,FAQ,22/02/2025,2200,3052,2450,1
Karnataka,Bidar,"Basava Kalayana",Wheat,Mexican,"Ref grade-1",01/02/2025,2941,2941,2941,1
Karnataka,Bidar,Bidar,Wheat,Red,FAQ,20/02/2025,3200,3500,3300,1
Karnataka,Bidar,Bidar,Soyabean,Local,FAQ,14/02/2025,3535,4068,3967,13
Karnataka,Bidar,Bidar,Soyabean,Local,FAQ,17/02/2025,3077,4073,3996,13
Karnataka,Bidar,Bidar,Soyabean,Soyabeen,FAQ,13/02/2025,3232,4079,3979,13
Karnataka,Bidar,Bidar,Maize,Local,FAQ,24/02/2025,3000,3600,3100,4
Karnataka,Bidar,Bidar,Rice,"CR 1009 (Coarse) Boiled",FAQ,14/02/2025,5800,6600,5900,3
Karnataka,Bidar,Bidar,Rice,"IR 20 Medium Boiled",FAQ,15/02/2025,5700,6600,5900,3
Karnataka,Bidar,"Basava Kalayana",Jowar(Sorghum),"Jowar ( White)",FAQ,07/02/2025,2200,2650,2400,5
Karnataka,Bidar,"Basava Kalayana",Jowar(Sorghum),"Jowar ( White)",FAQ,22/02/2025,1700,2600,2200,5
Karnataka,Bidar,"Basava Kalayana",Jowar(Sorghum),"Jowar ( White)",FAQ,24/02/2025,1850,2600,2251,5
Karnataka,Bidar,"Basava Kalayana",Jowar(Sorghum),"Jowar ( White)","Ref grade-1",03/02/2025,1500,2800,2500,5
Karnataka,Bidar,"Basava Kalayana",Jowar(Sorghum),"Jowar ( White)","Ref grade-1",04/02/2025,1600,2650,2320,5
Karnataka,Bidar,Bidar,Jowar(Sorghum),"Jowar ( White)","Ref grade-1",01/02/2025,2800,3500,3100,5
Karnataka,Bidar,Bidar,"Green Gram (Moong)(Whole)","Green (Whole)",FAQ,13/02/2025,6855,7412,7308,9
Karnataka,Bidar,Bidar,"Green Gram (Moong)(Whole)","Green (Whole)","Ref grade-1",01/02/2025,3750,7172,6183,9
Karnataka,Bidar,"Basava Kalayana","Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",FAQ,10/02/2025,5100,5100,5100,8
Karnataka,Bidar,"Basava Kalayana","Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",FAQ,11/02/2025,4300,4400,4300,8
Karnataka,Bidar,"Basava Kalayana","Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",FAQ,14/02/2025,3800,4651,4300,8
Karnataka,Bidar,Bidar,"Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",FAQ,17/02/2025,3535,6561,4709,8
Karnataka,Bidar,Bidar,"Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",FAQ,25/02/2025,3500,4126,3772,8
Karnataka,Bidar,"Basava Kalayana",Safflower,Safflower,FAQ,28/02/2025,5200,5500,5300,59
Karnataka,Bidar,Bidar,Rice,"CR 1009 (Coarse) Boiled",FAQ,24/02/2025,5000,6500,6000,3
Karnataka,Bidar,"Basava Kalayana","Sesamum(Sesame,Gingelly,Til)",White,FAQ,11/02/2025,7800,7800,7800,11
Karnataka,Bidar,"Basava Kalayana","Sesamum(Sesame,Gingelly,Til)",White,FAQ,13/02/2025,7500,7500,7500,11
Karnataka,Bidar,"Basava Kalayana","Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,13/02/2025,5900,6131,6000,6
Karnataka,Bidar,"Basava Kalayana","Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,24/02/2025,5261,5500,5300,6
Karnataka,Bidar,Bidar,"Bengal Gram(Gram)(Whole)",Jawari/Local,FAQ,28/02/2025,5258,5925,5625,6
Karnataka,Bidar,"Basava Kalayana","Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,09/01/2025,6101,7800,7400,49
Karnataka,Bidar,Bidar,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,24/01/2025,5555,8111,7229,49
Karnataka,Bidar,Bidar,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,23/01/2025,4000,8244,7355,49
Karnataka,Bidar,"Basava Kalayana","Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,20/01/2025,6500,7400,7150,49
Karnataka,Bidar,"Basava Kalayana","Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,06/01/2025,7200,7800,7400,49
Karnataka,Bidar,"Basava Kalayana","Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",FAQ,03/01/2025,6200,6200,6200,8
Karnataka,Bidar,"Basava Kalayana","Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,22/01/2025,5101,5101,5101,6
Karnataka,Bidar,"Basava Kalayana","Bengal Gram(Gram)(Whole)","Average (Whole)","Ref grade-1",30/01/2025,5700,5700,5700,6
Karnataka,Bidar,"Basava Kalayana","Bengal Gram(Gram)(Whole)","Average (Whole)","Ref grade-1",31/01/2025,5521,5700,5521,6
Karnataka,Bidar,"Basava Kalayana",Safflower,Safflower,FAQ,23/01/2025,5251,5251,5251,59
Karnataka,Bidar,"Basava Kalayana",Safflower,Safflower,FAQ,22/03/2025,4651,5841,5550,59
Karnataka,Bidar,Bidar,"Green Gram (Moong)(Whole)","Local (Whole)",FAQ,17/02/2025,2333,7865,5758,9
Karnataka,Bidar,"Basava Kalayana","Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",FAQ,13/02/2025,4491,4600,4491,8
Karnataka,Bidar,"Basava Kalayana","Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",FAQ,25/02/2025,4000,4000,4000,8
Karnataka,Bidar,Bidar,"Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",FAQ,15/02/2025,2891,6069,4672,8
Karnataka,Bidar,Bidar,"Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",FAQ,20/02/2025,3265,6565,4560,8
Karnataka,Bidar,Bidar,"Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",FAQ,28/02/2025,3500,4126,3772,8
Karnataka,Bidar,"Basava Kalayana",Wheat,Medium,FAQ,07/02/2025,3350,3700,3500,1
Karnataka,Bidar,"Basava Kalayana",Wheat,Medium,FAQ,22/02/2025,2950,3260,2950,1
Karnataka,Bidar,"Basava Kalayana",Wheat,Medium,FAQ,24/02/2025,3401,3401,3401,1
Karnataka,Bidar,"Basava Kalayana",Wheat,Mexican,FAQ,19/02/2025,2500,3061,2720,1
Karnataka,Bidar,"Basava Kalayana",Wheat,Mexican,FAQ,28/02/2025,2580,3200,2600,1
Karnataka,Bidar,Bidar,Wheat,Red,FAQ,25/02/2025,3200,3500,3300,1
Karnataka,Bidar,"Basava Kalayana","Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,11/01/2025,6000,6000,6000,6
Karnataka,Bidar,"Basava Kalayana","Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,21/01/2025,4200,4200,4200,6
