State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Bijapur,Bijapur,"Dry Grapes","Dry Grapes",FAQ,25/01/2025,2400,25000,16100,278
Karnataka,Bijapur,Bijapur,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,03/01/2025,6700,7000,6850,6
Karnataka,Bijapur,Bijapur,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,20/01/2025,6000,6400,6200,6
Karnataka,Bijapur,Bijapur,"Bengal Gram(Gram)(Whole)","Average (Whole)","Ref grade-1",30/01/2025,5700,6000,5850,6
Karnataka,Bijapur,Bijapur,Maize,Hybrid/Local,FAQ,10/01/2025,2200,2450,2325,4
Karnataka,Bijapur,Bijapur,Maize,Hybrid/Local,FAQ,28/01/2025,2200,2400,2300,4
Karnataka,Bijapur,Bijapur,Sunflower,Sunflower,FAQ,09/01/2025,5800,6200,6000,14
Karnataka,Bijapur,Bijapur,Sunflower,Sunflower,FAQ,20/01/2025,6000,6350,6175,14
Karnataka,Bijapur,Bijapur,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,15/01/2025,6200,6600,6400,6
Karnataka,Bijapur,Bijapur,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,21/01/2025,5700,6000,5850,6
Karnataka,Bijapur,Bijapur,Wheat,Sona,FAQ,08/01/2025,3000,3500,3250,1
Karnataka,Bijapur,Bijapur,Wheat,Sona,FAQ,23/01/2025,3000,3600,3300,1
Karnataka,Bijapur,Bijapur,Cotton,LH-1556,FAQ,04/01/2025,5096,7560,7234,15
Karnataka,Bijapur,Bijapur,Cotton,LH-1556,FAQ,07/01/2025,4006,7650,7352,15
Karnataka,Bijapur,Bijapur,Cotton,LH-1556,FAQ,16/01/2025,3006,7630,7286,15
Karnataka,Bijapur,Bijapur,Cotton,LH-1556,FAQ,21/01/2025,1016,7631,7311,15
Karnataka,Bijapur,Bijapur,Cotton,LH-1556,FAQ,24/01/2025,1006,7552,7237,15
Karnataka,Bijapur,Bijapur,Cotton,LH-1556,FAQ,28/01/2025,1036,7460,7131,15
Karnataka,Bijapur,Bijapur,Cotton,LH-1556,FAQ,29/01/2025,4006,7410,7144,15
Karnataka,Bijapur,Bijapur,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,06/01/2025,2200,2550,2375,28
Karnataka,Bijapur,Bijapur,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,20/01/2025,2200,2500,2300,28
Karnataka,Bijapur,Bijapur,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,23/01/2025,2200,2450,2325,28
Karnataka,Bijapur,Bijapur,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,09/01/2025,7200,7500,7350,49
Karnataka,Bijapur,Bijapur,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,10/01/2025,7000,7500,7250,49
Karnataka,Bijapur,Bijapur,Sunflower,Sunflower,FAQ,01/03/2025,6000,6200,6100,14
Karnataka,Bijapur,Bijapur,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,01/03/2025,6800,7250,7025,49
Karnataka,Bijapur,Bijapur,Lime,Lime,Medium,27/03/2025,1000,4800,2500,180
Karnataka,Bijapur,Bijapur,Gur(Jaggery),Achhu,FAQ,19/02/2025,3451,3701,3462,74
Karnataka,Bijapur,Bijapur,Sunflower,Sunflower,FAQ,14/02/2025,6100,6200,6150,14
Karnataka,Bijapur,Bijapur,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,06/02/2025,6000,6150,6075,6
