State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Chamrajnagar,Gundlupet,"Alasande Gram","Alasande Gram",FAQ,21/01/2025,8100,8100,8100,281
Karnataka,Chamrajnagar,Gundlupet,"Alasande Gram","Alasande Gram",FAQ,22/01/2025,8000,8300,8000,281
Karnataka,Chamrajnagar,"Chamaraj Nagar",Brinjal,Other,FAQ,11/01/2025,1000,2500,1800,35
Karnataka,Chamrajnagar,"Chamaraj Nagar",Brinjal,Other,FAQ,20/01/2025,1500,2000,1750,35
Karnataka,Chamrajnagar,"Chamaraj Nagar",Brinjal,Other,FAQ,27/01/2025,1500,1800,1650,35
Karnataka,Chamrajnagar,"Chamaraj Nagar",Brinjal,Round/Long,FAQ,07/01/2025,1000,1500,1300,35
Karnataka,Chamrajnagar,"Chamaraj Nagar",Brinjal,Round/Long,FAQ,18/01/2025,1000,1500,1250,35
Karnataka,Chamrajnagar,"Chamaraj Nagar",Brinjal,Round/Long,FAQ,25/01/2025,1500,2000,1750,35
Karnataka,Chamrajnagar,Gundlupet,"Banana - Green","Banana - Green",FAQ,17/01/2025,2200,2500,2200,90
Karnataka,Chamrajnagar,Gundlupet,"Banana - Green","Banana - Green",FAQ,06/01/2025,2300,2300,2300,90
Karnataka,Chamrajnagar,"Chamaraj Nagar",Tomato,Tomato,FAQ,18/01/2025,500,1200,900,78
Karnataka,Chamrajnagar,"Chamaraj Nagar",Tomato,Tomato,FAQ,21/01/2025,500,1000,750,78
Karnataka,Chamrajnagar,"Chamaraj Nagar","Green Chilli","Green Chilly",FAQ,11/01/2025,2000,2500,2300,87
Karnataka,Chamrajnagar,"Chamaraj Nagar","Green Chilli","Green Chilly",FAQ,21/01/2025,4000,4500,4250,87
Karnataka,Chamrajnagar,"Chamaraj Nagar","Green Chilli","Green Chilly","Ref grade-1",31/01/2025,2500,3000,2750,87
Karnataka,Chamrajnagar,"Chamaraj Nagar","Green Chilli","Green Chilly",FAQ,03/01/2025,1500,3000,2300,87
Karnataka,Chamrajnagar,Gundlupet,"Green Chilli","Green Chilly",FAQ,06/01/2025,6700,6700,6700,87
Karnataka,Chamrajnagar,Gundlupet,"Green Chilli","Green Chilly",FAQ,23/01/2025,3000,4400,3000,87
Karnataka,Chamrajnagar,"Chamaraj Nagar",Tomato,Tomato,FAQ,02/01/2025,500,1500,1000,78
Karnataka,Chamrajnagar,"Chamaraj Nagar",Tomato,Tomato,FAQ,11/01/2025,400,1200,800,78
Karnataka,Chamrajnagar,"Chamaraj Nagar",Tomato,Tomato,FAQ,25/01/2025,500,1000,750,78
Karnataka,Chamrajnagar,"Chamaraj Nagar","Green Chilli","Green Chilly",FAQ,15/01/2025,2000,2500,2300,87
Karnataka,Chamrajnagar,Gundlupet,"Green Chilli","Green Chilly",FAQ,20/01/2025,3500,4400,3700,87
Karnataka,Chamrajnagar,"Chamaraj Nagar",Beans,"Beans (Whole)",FAQ,08/02/2025,1500,2500,2000,94
Karnataka,Chamrajnagar,"Chamaraj Nagar",Beans,"Beans (Whole)",FAQ,10/02/2025,1500,2500,2000,94
Karnataka,Chamrajnagar,"Chamaraj Nagar",Beans,"Beans (Whole)",FAQ,20/02/2025,2000,2500,2300,94
Karnataka,Chamrajnagar,"Chamaraj Nagar",Beans,"Beans (Whole)",FAQ,28/02/2025,1000,2000,1500,94
Karnataka,Chamrajnagar,Gundlupet,Beans,"Beans (Whole)",FAQ,18/02/2025,2400,2800,2600,94
Karnataka,Chamrajnagar,Gundlupet,Beans,"Beans (Whole)",FAQ,21/02/2025,2800,2800,2800,94
Karnataka,Chamrajnagar,Gundlupet,Beans,"Beans (Whole)",FAQ,24/02/2025,2800,2800,2800,94
Karnataka,Chamrajnagar,Gundlupet,Onion,Local,FAQ,17/02/2025,2000,2250,2000,23
Karnataka,Chamrajnagar,"Chamaraj Nagar",Brinjal,Other,FAQ,19/02/2025,600,700,650,35
Karnataka,Chamrajnagar,"Chamaraj Nagar",Brinjal,Other,FAQ,25/02/2025,1000,2500,1800,35
Karnataka,Chamrajnagar,"Chamaraj Nagar",Brinjal,Round/Long,FAQ,08/02/2025,2000,2200,2100,35
Karnataka,Chamrajnagar,"Chamaraj Nagar",Brinjal,Round/Long,FAQ,13/02/2025,2000,2300,2150,35
Karnataka,Chamrajnagar,"Chamaraj Nagar",Raddish,Raddish,FAQ,24/02/2025,1000,1200,1100,161
Karnataka,Chamrajnagar,"Chamaraj Nagar",Ridgeguard(Tori),Ridgeguard(Tori),FAQ,19/02/2025,1000,1200,1100,160
Karnataka,Chamrajnagar,"Chamaraj Nagar",Ridgeguard(Tori),Ridgeguard(Tori),FAQ,20/02/2025,1800,2000,1900,160
Karnataka,Chamrajnagar,"Chamaraj Nagar",Brinjal,Round/Long,FAQ,14/02/2025,2000,2300,2150,35
Karnataka,Chamrajnagar,"Chamaraj Nagar",Brinjal,Round/Long,FAQ,19/02/2025,700,900,800,35
Karnataka,Chamrajnagar,"Chamaraj Nagar",Brinjal,Round/Long,FAQ,21/02/2025,2000,2300,2150,35
Karnataka,Chamrajnagar,"Chamaraj Nagar",Brinjal,Round/Long,FAQ,25/02/2025,1000,1600,1300,35
Karnataka,Chamrajnagar,"Chamaraj Nagar",Brinjal,Round/Long,FAQ,28/02/2025,2800,3500,3200,35
Karnataka,Chamrajnagar,"Chamaraj Nagar",Brinjal,Round/Long,"Ref grade-1",01/02/2025,2000,2500,2300,35
Karnataka,Chamrajnagar,"Chamaraj Nagar",Raddish,Raddish,"Ref grade-1",05/02/2025,400,600,500,161
Karnataka,Chamrajnagar,"Chamaraj Nagar","Green Chilli","Green Chilly",FAQ,07/02/2025,2500,3000,2750,87
Karnataka,Chamrajnagar,"Chamaraj Nagar","Green Chilli","Green Chilly",FAQ,10/02/2025,2500,3000,2750,87
Karnataka,Chamrajnagar,"Chamaraj Nagar","Green Chilli","Green Chilly",FAQ,18/02/2025,2500,3000,2750,87
Karnataka,Chamrajnagar,"Chamaraj Nagar","Green Chilli","Green Chilly",FAQ,22/02/2025,2000,2500,2300,87
Karnataka,Chamrajnagar,Gundlupet,"Green Chilli","Green Chilly",FAQ,25/02/2025,2000,2100,2100,87
Karnataka,Chamrajnagar,"Chamaraj Nagar",Coconut,Grade-I,"Ref grade-1",03/02/2025,14000,25000,17000,138
Karnataka,Chamrajnagar,"Chamaraj Nagar","Knool Khol","Knool Khol",FAQ,07/02/2025,1500,2000,1750,177
Karnataka,Chamrajnagar,"Chamaraj Nagar","Knool Khol","Knool Khol",FAQ,10/02/2025,1500,2000,1750,177
Karnataka,Chamrajnagar,"Chamaraj Nagar","Knool Khol","Knool Khol",FAQ,22/02/2025,1000,1400,1200,177
Karnataka,Chamrajnagar,"Chamaraj Nagar","Knool Khol","Knool Khol",FAQ,25/02/2025,1000,1500,1300,177
