State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Chikmagalur,Bagepalli,Beans,"Beans (Whole)",FAQ,20/02/2025,2000,3000,2600,94
Karnataka,Chikmagalur,Chikkamagalore,Beans,"Beans (Whole)",FAQ,06/02/2025,2976,2976,2976,94
Karnataka,Chikmagalur,Chikkamagalore,Beans,"Beans (Whole)",FAQ,07/02/2025,2931,3131,3031,94
Karnataka,Chikmagalur,Chikkamagalore,Beans,"Beans (Whole)",FAQ,11/02/2025,3031,3031,3031,94
Karnataka,Chikmagalur,Chikkamagalore,Beans,"Beans (Whole)",FAQ,19/02/2025,2504,2704,2604,94
Karnataka,Chikmagalur,Chikkamagalore,Beans,"Beans (Whole)",FAQ,27/02/2025,2876,3076,2976,94
Karnataka,Chikmagalur,Chikkamagalore,Beans,"Beans (Whole)",FAQ,28/02/2025,2876,3076,2976,94
Karnataka,Chikmagalur,Chikkamagalore,Beans,"Beans (Whole)","Ref grade-1",04/02/2025,3031,3031,3031,94
Karnataka,Chikmagalur,Chikkamagalore,Beans,"Beans (Whole)","Ref grade-1",05/02/2025,2909,3109,3009,94
Karnataka,Chikmagalur,Bagepalli,Raddish,Raddish,FAQ,16/02/2025,800,1200,1000,161
Karnataka,Chikmagalur,Koppa,Coconut,Grade-I,FAQ,21/02/2025,5000,5000,5000,138
Karnataka,Chikmagalur,Koppa,Coconut,Grade-I,FAQ,24/02/2025,5000,5000,5000,138
Karnataka,Chikmagalur,Bagepalli,Onion,Onion,FAQ,12/02/2025,2000,3200,2600,23
Karnataka,Chikmagalur,Bagepalli,Onion,Onion,FAQ,15/02/2025,2000,3000,2400,23
Karnataka,Chikmagalur,Chikkamagalore,Onion,Other,FAQ,17/02/2025,3234,3434,3334,23
Karnataka,Chikmagalur,Bagepalli,Cauliflower,Cauliflower,FAQ,20/02/2025,700,1500,900,34
Karnataka,Chikmagalur,Bagepalli,Cauliflower,Cauliflower,"Ref grade-1",05/02/2025,1000,2000,1450,34
Karnataka,Chikmagalur,Chikkamagalore,Cauliflower,Local,FAQ,06/02/2025,1667,1667,1667,34
Karnataka,Chikmagalur,Chikkamagalore,Cauliflower,Local,"Ref grade-1",05/02/2025,1750,1750,1750,34
Karnataka,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,15/02/2025,615,1385,769,78
Karnataka,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,20/02/2025,615,1231,769,78
Karnataka,Chikmagalur,Chikkamagalore,Tomato,Tomato,"Ref grade-1",03/02/2025,1900,2100,2000,78
Karnataka,Chikmagalur,Chikkamagalore,Thondekai,Thondekai,FAQ,12/02/2025,2941,2941,2941,162
Karnataka,Chikmagalur,Chikkamagalore,Thondekai,Thondekai,"Ref grade-1",01/02/2025,3334,3334,3334,162
Karnataka,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,14/02/2025,2678,2878,2778,24
Karnataka,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,19/02/2025,2573,2773,2673,24
Karnataka,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,24/02/2025,1823,2023,1923,24
Karnataka,Chikmagalur,Chikkamagalore,Potato,Other,"Ref grade-1",03/02/2025,2678,2878,2778,24
Karnataka,Chikmagalur,Chikkamagalore,Potato,Other,"Ref grade-1",04/02/2025,2778,2778,2778,24
Karnataka,Chikmagalur,Bagepalli,Brinjal,Brinjal,FAQ,11/02/2025,1000,2000,1500,35
Karnataka,Chikmagalur,Bagepalli,Brinjal,Brinjal,FAQ,13/02/2025,1200,2400,1600,35
Karnataka,Chikmagalur,Bagepalli,Brinjal,Brinjal,FAQ,18/02/2025,1000,2500,1800,35
Karnataka,Chikmagalur,Koppa,Arecanut(Betelnut/Supari),Bette,FAQ,07/02/2025,48099,55729,53599,140
Karnataka,Chikmagalur,Koppa,Arecanut(Betelnut/Supari),Gorabalu,FAQ,12/02/2025,24000,27399,24099,140
Karnataka,Chikmagalur,Koppa,Arecanut(Betelnut/Supari),Gorabalu,FAQ,13/02/2025,27500,28000,27800,140
Karnataka,Chikmagalur,Koppa,Arecanut(Betelnut/Supari),Gorabalu,FAQ,28/02/2025,50500,51500,51400,140
Karnataka,Chikmagalur,Koppa,Arecanut(Betelnut/Supari),Rashi,FAQ,20/02/2025,28000,51200,50000,140
Karnataka,Chikmagalur,Koppa,Arecanut(Betelnut/Supari),Rashi,FAQ,22/02/2025,50600,50800,50700,140
Karnataka,Chikmagalur,Koppa,Arecanut(Betelnut/Supari),Rashi,"Ref grade-1",03/02/2025,49404,50800,50200,140
Karnataka,Chikmagalur,Tarikere,Arecanut(Betelnut/Supari),Chali,FAQ,24/02/2025,15000,15000,15000,140
Karnataka,Chikmagalur,Tarikere,Arecanut(Betelnut/Supari),Pudi,FAQ,14/02/2025,10000,13333,10357,140
Karnataka,Chikmagalur,Tarikere,Arecanut(Betelnut/Supari),Pudi,FAQ,24/02/2025,9000,15000,10270,140
Karnataka,Chikmagalur,Tarikere,Arecanut(Betelnut/Supari),Rashi,FAQ,15/02/2025,28000,28000,28000,140
Karnataka,Chikmagalur,Chikkamagalore,Paddy(Dhan)(Common),"Paddy fine",FAQ,29/01/2025,3950,3950,3950,2
Karnataka,Chikmagalur,Chikkamagalore,Paddy(Dhan)(Common),"Paddy Medium",FAQ,23/01/2025,2300,2300,2300,2
Karnataka,Chikmagalur,Chikkamagalore,Paddy(Dhan)(Common),"Paddy Medium",FAQ,24/01/2025,3195,3395,3295,2
Karnataka,Chikmagalur,Bagepalli,Potato,Potato,FAQ,01/01/2025,2200,3500,2550,24
Karnataka,Chikmagalur,Chikkamagalore,Maize,Local,FAQ,01/01/2025,2295,2295,2295,4
Karnataka,Chikmagalur,Chikkamagalore,Maize,Local,FAQ,07/01/2025,2255,2255,2255,4
Karnataka,Chikmagalur,Chikkamagalore,Maize,Local,FAQ,13/01/2025,2176,2376,2276,4
Karnataka,Chikmagalur,Chikkamagalore,Maize,Local,FAQ,28/01/2025,2183,2383,2283,4
Karnataka,Chikmagalur,Chikkamagalore,Carrot,Other,FAQ,03/01/2025,3704,3704,3704,153
Karnataka,Chikmagalur,Bagepalli,"Green Avare (W)","Green Avare (W)","Ref grade-1",30/01/2025,4000,7000,6000,165
Karnataka,Chikmagalur,Bagepalli,Capsicum,Capsicum,FAQ,13/01/2025,2500,3500,3000,164
Karnataka,Chikmagalur,Bagepalli,Capsicum,Capsicum,FAQ,21/01/2025,2000,3000,2400,164
Karnataka,Chikmagalur,Chikkamagalore,Cabbage,Cabbage,FAQ,10/01/2025,806,806,806,154
Karnataka,Chikmagalur,Bagepalli,Carrot,Carrot,FAQ,02/01/2025,2000,3000,2500,153
Karnataka,Chikmagalur,Chikkamagalore,Carrot,Other,FAQ,08/01/2025,3273,3673,3473,153
Karnataka,Chikmagalur,Chikkamagalore,Carrot,Other,FAQ,24/01/2025,3704,3704,3704,153
Karnataka,Chikmagalur,Koppa,Rice,Jaya,FAQ,04/01/2025,2000,2700,2500,3
Karnataka,Chikmagalur,Koppa,Rice,Jaya,FAQ,13/01/2025,2800,2800,2800,3
Karnataka,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,29/01/2025,1920,2120,2020,24
Karnataka,Chikmagalur,Chikkamagalore,"Black pepper",Malabar,FAQ,28/01/2025,36000,36000,36000,38
Karnataka,Chikmagalur,Koppa,"Black pepper",Malabar,FAQ,09/01/2025,35500,65000,50000,38
Karnataka,Chikmagalur,Koppa,"Black pepper",Malabar,FAQ,20/01/2025,62500,64000,63000,38
Karnataka,Chikmagalur,Koppa,"Black pepper",Other,FAQ,04/01/2025,27000,31872,29200,38
Karnataka,Chikmagalur,Koppa,"Black pepper",Other,FAQ,23/01/2025,31000,31000,31000,38
Karnataka,Chikmagalur,Koppa,"Black pepper",Other,FAQ,29/01/2025,28000,29200,29000,38
Karnataka,Chikmagalur,Bagepalli,Onion,Onion,FAQ,03/01/2025,2500,3500,3000,23
Karnataka,Chikmagalur,Bagepalli,Onion,Onion,"Ref grade-1",30/01/2025,2500,3500,3000,23
Karnataka,Chikmagalur,Chikkamagalore,Onion,Other,FAQ,03/01/2025,3955,4155,4055,23
Karnataka,Chikmagalur,Chikkamagalore,Onion,Other,FAQ,04/01/2025,3900,4100,4000,23
Karnataka,Chikmagalur,Chikkamagalore,Onion,Other,FAQ,20/01/2025,3704,3704,3704,23
Karnataka,Chikmagalur,Chikkamagalore,Onion,Other,FAQ,22/01/2025,3092,3292,3192,23
Karnataka,Chikmagalur,Chikkamagalore,Onion,Other,"Ref grade-1",31/01/2025,2930,3130,3030,23
Karnataka,Chikmagalur,Koppa,Arecanut(Betelnut/Supari),Bette,FAQ,03/01/2025,51899,56411,54899,140
Karnataka,Chikmagalur,Koppa,Arecanut(Betelnut/Supari),Bette,FAQ,15/01/2025,52099,56899,54599,140
Karnataka,Chikmagalur,Koppa,Arecanut(Betelnut/Supari),Bette,"Ref grade-1",31/01/2025,50118,55919,53199,140
Karnataka,Chikmagalur,Koppa,Arecanut(Betelnut/Supari),Gorabalu,FAQ,01/01/2025,26800,28099,27899,140
Karnataka,Chikmagalur,Koppa,Arecanut(Betelnut/Supari),Gorabalu,FAQ,09/01/2025,26500,29500,27500,140
Karnataka,Chikmagalur,Koppa,Arecanut(Betelnut/Supari),Gorabalu,FAQ,16/01/2025,26800,35000,29500,140
Karnataka,Chikmagalur,Koppa,Arecanut(Betelnut/Supari),Gorabalu,FAQ,29/01/2025,22800,29500,28000,140
Karnataka,Chikmagalur,Koppa,Arecanut(Betelnut/Supari),Rashi,FAQ,09/01/2025,49000,50500,50400,140
Karnataka,Chikmagalur,Koppa,Arecanut(Betelnut/Supari),Rashi,FAQ,11/01/2025,50000,50200,50000,140
Karnataka,Chikmagalur,Koppa,Arecanut(Betelnut/Supari),Rashi,FAQ,16/01/2025,49499,51299,50499,140
Karnataka,Chikmagalur,Koppa,Arecanut(Betelnut/Supari),Rashi,FAQ,27/01/2025,49000,50600,50500,140
Karnataka,Chikmagalur,Koppa,Arecanut(Betelnut/Supari),Saraku,FAQ,02/01/2025,50129,85040,67585,140
Karnataka,Chikmagalur,Koppa,Arecanut(Betelnut/Supari),Saraku,FAQ,08/01/2025,66159,81529,79359,140
Karnataka,Chikmagalur,Koppa,Arecanut(Betelnut/Supari),Saraku,FAQ,10/01/2025,57189,85559,78659,140
Karnataka,Chikmagalur,Koppa,Arecanut(Betelnut/Supari),Saraku,FAQ,16/01/2025,68159,80599,78799,140
Karnataka,Chikmagalur,Koppa,Arecanut(Betelnut/Supari),Sippegotu,FAQ,20/01/2025,11000,11000,11000,140
Karnataka,Chikmagalur,Tarikere,Arecanut(Betelnut/Supari),Other,FAQ,04/01/2025,30000,40000,34000,140
Karnataka,Chikmagalur,Tarikere,Arecanut(Betelnut/Supari),Other,FAQ,13/01/2025,20000,25000,22500,140
Karnataka,Chikmagalur,Tarikere,Arecanut(Betelnut/Supari),Other,FAQ,17/01/2025,20000,40000,25532,140
Karnataka,Chikmagalur,Tarikere,Arecanut(Betelnut/Supari),Sippegotu,FAQ,04/01/2025,8000,8000,8000,140
Karnataka,Chikmagalur,Tarikere,Ginger(Green),"Green Ginger",FAQ,29/01/2025,1200,1200,1200,103
Karnataka,Chikmagalur,Chikkamagalore,Coconut,Other,FAQ,15/01/2025,2500,2500,2500,138
Karnataka,Chikmagalur,Tarikere,Coconut,Grade-I,FAQ,29/01/2025,18000,32531,30707,138
Karnataka,Chikmagalur,Chikkamagalore,Gur(Jaggery),Black,FAQ,10/02/2025,4000,4000,4000,74
Karnataka,Chikmagalur,Chikkamagalore,Wheat,Other,FAQ,14/02/2025,2700,2700,2700,1
Karnataka,Chikmagalur,Chikkamagalore,Wheat,Other,FAQ,24/02/2025,2800,2800,2800,1
Karnataka,Chikmagalur,Chikkamagalore,Maize,Local,FAQ,17/02/2025,2340,2340,2340,4
Karnataka,Chikmagalur,Chikkamagalore,Maize,Local,FAQ,18/02/2025,2300,2300,2300,4
Karnataka,Chikmagalur,Chikkamagalore,Maize,Local,FAQ,24/02/2025,2289,2489,2389,4
Karnataka,Chikmagalur,Chikkamagalore,"Black pepper",Malabar,FAQ,19/02/2025,28000,35500,29180,38
Karnataka,Chikmagalur,Koppa,"Black pepper",Malabar,FAQ,21/02/2025,28500,63500,30000,38
Karnataka,Chikmagalur,Koppa,"Black pepper",Malabar,"Ref grade-1",03/02/2025,63000,63000,63000,38
Karnataka,Chikmagalur,Bagepalli,Carrot,Carrot,FAQ,10/02/2025,1500,2500,1600,153
Karnataka,Chikmagalur,Bagepalli,Carrot,Carrot,FAQ,12/02/2025,1800,2500,2100,153
Karnataka,Chikmagalur,Bagepalli,Carrot,Carrot,FAQ,13/02/2025,1500,2500,2000,153
Karnataka,Chikmagalur,Bagepalli,Carrot,Carrot,FAQ,17/02/2025,2000,2800,2200,153
Karnataka,Chikmagalur,Chikkamagalore,Carrot,Other,FAQ,15/02/2025,3473,3473,3473,153
Karnataka,Chikmagalur,Chikkamagalore,Carrot,Other,FAQ,21/02/2025,2778,2778,2778,153
Karnataka,Chikmagalur,Chikkamagalore,Carrot,Other,"Ref grade-1",01/02/2025,3623,3623,3623,153
Karnataka,Chikmagalur,Chikkamagalore,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,12/02/2025,2941,2941,2941,160
Karnataka,Chikmagalur,Chikkamagalore,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,14/02/2025,2941,2941,2941,160
Karnataka,Chikmagalur,Chikkamagalore,Ridgeguard(Tori),Ridgeguard(Tori),"Ref grade-1",01/02/2025,3125,3125,3125,160
Karnataka,Chikmagalur,Bagepalli,"Bhindi(Ladies Finger)",Bhindi,FAQ,12/02/2025,2000,3000,2400,85
Karnataka,Chikmagalur,Bagepalli,"Bhindi(Ladies Finger)",Bhindi,FAQ,17/02/2025,2200,3500,2600,85
Karnataka,Chikmagalur,Bagepalli,"Bhindi(Ladies Finger)",Bhindi,FAQ,20/02/2025,2000,3000,2600,85
Karnataka,Chikmagalur,Bagepalli,"Bhindi(Ladies Finger)",Bhindi,"Ref grade-1",04/02/2025,1800,2500,2100,85
Karnataka,Chikmagalur,Chikkamagalore,"Bhindi(Ladies Finger)",Bhindi,FAQ,07/02/2025,2941,2941,2941,85
