State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Chitradurga,Hiriyur,"Ground Nut Seed","Ground Nut Seed",FAQ,09/01/2025,9750,9750,9750,268
Karnataka,Chitradurga,Hiriyur,"Ground Nut Seed","Ground Nut Seed",FAQ,10/01/2025,9300,9300,9300,268
Karnataka,Chitradurga,Hiriyur,"Ground Nut Seed","Ground Nut Seed",FAQ,15/01/2025,9200,9200,9200,268
Karnataka,Chitradurga,Hiriyur,"Arhar Dal(Tur Dal)","Arhar Dal(Tur)",FAQ,17/01/2025,10720,10720,10720,260
Karnataka,Chitradurga,Chitradurga,"Bengal Gram(Gram)(Whole)","Average (Whole)","Ref grade-1",03/02/2025,3829,5787,5771,6
Karnataka,Chitradurga,Chitradurga,Sunflower,Local,"Ref grade-1",03/02/2025,5600,5980,5845,14
Karnataka,Chitradurga,Challakere,Groundnut,Gejje,FAQ,21/02/2025,3825,7499,6336,10
Karnataka,Chitradurga,Challakere,Groundnut,Gejje,FAQ,28/02/2025,3819,7461,6328,10
Karnataka,Chitradurga,Chitradurga,Groundnut,Natte,FAQ,24/02/2025,3289,6949,4939,10
Karnataka,Chitradurga,Challakere,Maize,Yellow,FAQ,11/02/2025,2010,2441,2382,4
Karnataka,Chitradurga,Chitradurga,Maize,Local,FAQ,14/02/2025,2167,2509,2492,4
Karnataka,Chitradurga,Chitradurga,Maize,Local,"Ref grade-1",03/02/2025,1800,2406,2363,4
Karnataka,Chitradurga,Chitradurga,Maize,Local,"Ref grade-1",05/02/2025,2150,2450,2363,4
Karnataka,Chitradurga,Hiriyur,Groundnut,"Big (With Shell)",FAQ,21/02/2025,6574,6574,6574,10
Karnataka,Chitradurga,Chitradurga,"Corriander seed","Coriander Seed",FAQ,14/02/2025,6100,6100,6100,108
Karnataka,Chitradurga,Hiriyur,Groundnut,"Big (With Shell)",FAQ,13/02/2025,6000,6000,6000,10
Karnataka,Chitradurga,Challakere,"Alasande Gram","Alasande Gram","Ref grade-1",02/02/2025,4149,4149,4149,281
Karnataka,Chitradurga,Chitradurga,"Alasande Gram","Alasande Gram",FAQ,19/02/2025,3507,7455,5316,281
Karnataka,Chitradurga,Chitradurga,"Alasande Gram","Alasande Gram",FAQ,24/02/2025,3509,7400,6832,281
Karnataka,Chitradurga,Chitradurga,Sunflower,Local,FAQ,17/01/2025,5369,6069,5873,14
Karnataka,Chitradurga,Chitradurga,Sunflower,Local,FAQ,27/01/2025,5173,6169,5547,14
Karnataka,Chitradurga,Hiriyur,"Ground Nut Seed","Ground Nut Seed",FAQ,19/02/2025,7600,7600,7600,268
Karnataka,Chitradurga,Hiriyur,"Ground Nut Seed","Ground Nut Seed",FAQ,27/02/2025,8000,8000,8000,268
Karnataka,Chitradurga,Hiriyur,"Ground Nut Seed","Ground Nut Seed","Ref grade-1",02/02/2025,10098,10098,10098,268
Karnataka,Chitradurga,Hiriyur,"Ground Nut Seed","Ground Nut Seed","Ref grade-1",05/02/2025,10000,10000,10000,268
Karnataka,Chitradurga,Chitradurga,"Avare Dal","Avare (Whole)",FAQ,28/02/2025,6051,7150,6539,269
Karnataka,Chitradurga,Chitradurga,Arecanut(Betelnut/Supari),api,"Ref grade-1",01/02/2025,49619,50029,49849,140
Karnataka,Chitradurga,Chitradurga,Arecanut(Betelnut/Supari),Bette,FAQ,27/02/2025,23629,24059,23849,140
Karnataka,Chitradurga,Chitradurga,Arecanut(Betelnut/Supari),Bette,FAQ,28/02/2025,23600,24000,23800,140
Karnataka,Chitradurga,Chitradurga,Arecanut(Betelnut/Supari),Rashi,FAQ,20/02/2025,49339,49779,49559,140
Karnataka,Chitradurga,Chitradurga,Arecanut(Betelnut/Supari),Rashi,FAQ,28/02/2025,49300,49700,49500,140
Karnataka,Chitradurga,Chitradurga,Arecanut(Betelnut/Supari),Rashi,"Ref grade-1",01/02/2025,49139,49569,49389,140
Karnataka,Chitradurga,Chitradurga,Sunflower,Local,FAQ,01/01/2025,5455,6341,6021,14
Karnataka,Chitradurga,Chitradurga,Arecanut(Betelnut/Supari),Bette,FAQ,24/01/2025,23800,24200,24000,140
Karnataka,Chitradurga,Chitradurga,Arecanut(Betelnut/Supari),Kempugotu,FAQ,02/01/2025,24409,24810,24600,140
Karnataka,Chitradurga,Chitradurga,Arecanut(Betelnut/Supari),Rashi,FAQ,06/01/2025,48600,49000,48800,140
Karnataka,Chitradurga,Chitradurga,Safflower,Safflower,FAQ,14/02/2025,4059,4059,4059,59
Karnataka,Chitradurga,Chitradurga,Groundnut,Natte,FAQ,17/03/2025,4369,7145,6464,10
Karnataka,Chitradurga,Chitradurga,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,24/03/2025,8500,8500,8500,11
Karnataka,Chitradurga,Holalkere,Gur(Jaggery),Unde,FAQ,14/03/2025,2500,2500,2500,74
Karnataka,Chitradurga,Chitradurga,Arecanut(Betelnut/Supari),api,FAQ,28/03/2025,50600,51000,50800,140
Karnataka,Chitradurga,Holalkere,Arecanut(Betelnut/Supari),Rashi,FAQ,17/03/2025,22600,23000,22790,140
Karnataka,Chitradurga,Chitradurga,"Alasande Gram","Alasande Gram",FAQ,19/03/2025,4025,6509,5911,281
Karnataka,Chitradurga,Chitradurga,"Alasande Gram","Alasande Gram",FAQ,24/03/2025,3007,6459,5763,281
Karnataka,Chitradurga,Chitradurga,Sunflower,Local,FAQ,14/03/2025,4619,5439,5004,14
Karnataka,Chitradurga,Chitradurga,Sunflower,Local,FAQ,21/03/2025,4163,4759,4629,14
Karnataka,Chitradurga,Chitradurga,Maize,Local,FAQ,19/03/2025,1400,2529,2355,4
Karnataka,Chitradurga,Chitradurga,Maize,Local,FAQ,28/03/2025,2080,2512,2386,4
Karnataka,Chitradurga,Chitradurga,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,14/03/2025,3469,5951,5627,6
Karnataka,Chitradurga,Chitradurga,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,12/03/2025,1889,6689,4786,49
Karnataka,Chitradurga,Chitradurga,"Kulthi(Horse Gram)","Horse gram (Whole)",FAQ,19/03/2025,3100,3529,3399,114
Karnataka,Chitradurga,Chitradurga,"Kulthi(Horse Gram)","Horse gram (Whole)",FAQ,21/03/2025,2930,3541,3373,114
Karnataka,Chitradurga,Chitradurga,"Kulthi(Horse Gram)","Horse gram (Whole)",FAQ,26/03/2025,2805,3365,3121,114
Karnataka,Chitradurga,Holalkere,"Ragi (Finger Millet)",Red,FAQ,15/01/2025,3000,3000,3000,30
Karnataka,Chitradurga,Chitradurga,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,08/01/2025,2009,7509,6032,49
Karnataka,Chitradurga,Chitradurga,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,24/01/2025,1800,7309,5031,49
Karnataka,Chitradurga,Challakere,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,12/01/2025,2500,6666,5854,49
Karnataka,Chitradurga,Chitradurga,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,17/01/2025,1529,7999,5689,49
Karnataka,Chitradurga,Challakere,Groundnut,Gejje,FAQ,22/01/2025,3789,6489,5279,10
Karnataka,Chitradurga,Challakere,Groundnut,Gejje,FAQ,24/01/2025,3669,6726,5112,10
