State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Davangere,Davangere,Brinjal,Round/Long,FAQ,03/01/2025,700,1500,1000,35
Karnataka,Davangere,Davangere,Brinjal,Round/Long,FAQ,04/01/2025,800,1500,1200,35
Karnataka,Davangere,Davangere,Tomato,Tomato,FAQ,10/01/2025,600,1500,1000,78
Karnataka,Davangere,Davangere,Beans,"Beans (Whole)",FAQ,01/01/2025,4000,4500,4200,94
Karnataka,Davangere,Davangere,Beans,"Beans (Whole)",FAQ,15/01/2025,4000,4500,4200,94
Karnataka,Davangere,Davangere,Beans,"Beans (Whole)",FAQ,17/01/2025,4000,4500,4200,94
Karnataka,Davangere,Davangere,Beans,"Beans (Whole)",FAQ,18/01/2025,4000,4500,4200,94
Karnataka,Davangere,Davangere,Beans,"Beans (Whole)",FAQ,21/01/2025,4000,4500,4200,94
Karnataka,Davangere,Davangere,Beans,"Beans (Whole)",FAQ,24/01/2025,4000,5000,4500,94
Karnataka,Davangere,Davangere,Beans,"Beans (Whole)",FAQ,30/01/2025,4000,4500,4200,94
Karnataka,Davangere,Davangere,Beans,"Beans (Whole)","Ref grade-1",31/01/2025,4000,4500,4200,94
Karnataka,Davangere,Davangere,"Alasande Gram","Alasande Gram",FAQ,07/01/2025,7500,7700,7600,281
Karnataka,Davangere,Davangere,"Alasande Gram","Alasande Gram",FAQ,20/01/2025,6850,7050,6950,281
Karnataka,Davangere,"Harappana Halli","Alasande Gram","Alasande Gram",FAQ,07/01/2025,5350,7850,7180,281
Karnataka,Davangere,"Harappana Halli","Alasande Gram","Alasande Gram",FAQ,15/01/2025,7650,7690,7680,281
Karnataka,Davangere,"Harappana Halli","Alasande Gram","Alasande Gram",FAQ,18/01/2025,7300,7300,7300,281
Karnataka,Davangere,"Harappana Halli","Alasande Gram","Alasande Gram",FAQ,25/01/2025,6900,6900,6900,281
Karnataka,Davangere,"Harappana Halli","Alasande Gram","Alasande Gram",FAQ,27/01/2025,7000,7300,7100,281
Karnataka,Davangere,Davangere,"Bunch Beans","Bunch Beans",FAQ,01/01/2025,3000,3500,3200,224
Karnataka,Davangere,Davangere,"Bunch Beans","Bunch Beans",FAQ,18/01/2025,3000,4000,3500,224
Karnataka,Davangere,Davangere,"Bunch Beans","Bunch Beans","Ref grade-1",31/01/2025,3000,3500,3200,224
Karnataka,Davangere,Davangere,"Sweet Potato","Sweet Potato",FAQ,01/01/2025,3500,4000,3800,152
Karnataka,Davangere,Davangere,"Sweet Potato","Sweet Potato",FAQ,02/01/2025,3500,4000,3800,152
Karnataka,Davangere,Davangere,"Sweet Potato","Sweet Potato",FAQ,10/01/2025,3500,4000,3800,152
Karnataka,Davangere,Davangere,"Sweet Potato","Sweet Potato",FAQ,15/01/2025,3500,4000,3800,152
Karnataka,Davangere,Davangere,"Sweet Potato","Sweet Potato",FAQ,18/01/2025,3400,4000,3700,152
Karnataka,Davangere,Davangere,"Sweet Potato","Sweet Potato",FAQ,21/01/2025,3000,4000,3500,152
Karnataka,Davangere,Davangere,"Bhindi(Ladies Finger)",Bhindi,FAQ,16/01/2025,3500,4000,3800,85
Karnataka,Davangere,Davangere,"Bhindi(Ladies Finger)",Bhindi,FAQ,24/01/2025,3500,4000,3800,85
Karnataka,Davangere,Davangere,"Bengal Gram Dal (Chana Dal)","Bengal Gram Dal",FAQ,03/01/2025,7850,7850,7850,263
Karnataka,Davangere,Davangere,"Bengal Gram Dal (Chana Dal)","Bengal Gram Dal",FAQ,13/01/2025,7800,7800,7800,263
Karnataka,Davangere,Davangere,Drumstick,Drumstick,FAQ,02/01/2025,3500,4000,3800,168
Karnataka,Davangere,Davangere,Drumstick,Drumstick,FAQ,15/01/2025,3000,4000,3500,168
Karnataka,Davangere,Davangere,Drumstick,Drumstick,FAQ,16/01/2025,3500,4000,3800,168
Karnataka,Davangere,Davangere,"Sweet Pumpkin","Sweet Pumpkin",FAQ,03/01/2025,1000,1500,1200,173
Karnataka,Davangere,Davangere,Carrot,Carrot,FAQ,04/01/2025,3000,4000,3500,153
Karnataka,Davangere,Davangere,Carrot,Carrot,FAQ,07/01/2025,3000,4000,3500,153
Karnataka,Davangere,Davangere,Thogrikai,Thogarikai,FAQ,03/01/2025,4000,5000,4500,170
Karnataka,Davangere,Davangere,Cabbage,Cabbage,FAQ,02/01/2025,1000,1800,1500,154
Karnataka,Davangere,Davangere,Cabbage,Cabbage,FAQ,07/01/2025,1000,2000,1500,154
Karnataka,Davangere,Davangere,Cabbage,Cabbage,FAQ,08/01/2025,1000,1800,1500,154
Karnataka,Davangere,Davangere,Cabbage,Cabbage,FAQ,10/01/2025,1000,1800,1500,154
Karnataka,Davangere,Davangere,Cabbage,Cabbage,FAQ,21/01/2025,800,1500,1000,154
Karnataka,Davangere,Davangere,Cabbage,Cabbage,FAQ,22/01/2025,800,1500,1000,154
Karnataka,Davangere,Davangere,Cabbage,Cabbage,FAQ,28/01/2025,800,1500,1000,154
Karnataka,Davangere,Davangere,Cabbage,Cabbage,"Ref grade-1",31/01/2025,600,1000,800,154
Karnataka,Davangere,Channagiri,Arecanut(Betelnut/Supari),Rashi,FAQ,18/01/2025,44599,51821,50314,140
Karnataka,Davangere,Channagiri,Arecanut(Betelnut/Supari),Rashi,FAQ,21/01/2025,45519,51849,50421,140
Karnataka,Davangere,Channagiri,Arecanut(Betelnut/Supari),Rashi,FAQ,23/01/2025,46019,51899,49713,140
Karnataka,Davangere,Davangere,Arecanut(Betelnut/Supari),Gorabalu,FAQ,17/01/2025,19600,19600,19600,140
Karnataka,Davangere,Davangere,Arecanut(Betelnut/Supari),Rashi,FAQ,13/01/2025,24000,24000,24000,140
Karnataka,Davangere,Davangere,Arecanut(Betelnut/Supari),Rashi,FAQ,18/01/2025,48501,51101,50000,140
Karnataka,Davangere,Davangere,Arecanut(Betelnut/Supari),Sippegotu,FAQ,01/01/2025,11000,11000,11000,140
Karnataka,Davangere,Davangere,Arecanut(Betelnut/Supari),Sippegotu,FAQ,13/01/2025,11000,11000,11000,140
Karnataka,Davangere,Honnali,Arecanut(Betelnut/Supari),EDI,FAQ,22/01/2025,27500,31500,29500,140
Karnataka,Davangere,Davangere,Tomato,Tomato,FAQ,16/01/2025,600,1500,1000,78
Karnataka,Davangere,Davangere,"Green Chilli","Green Chilly",FAQ,24/01/2025,2000,3000,2500,87
Karnataka,Davangere,Davangere,"Green Chilli","Green Chilly",FAQ,08/01/2025,2000,3000,2500,87
Karnataka,Davangere,Davangere,"Green Chilli","Green Chilly",FAQ,21/01/2025,2000,3000,2500,87
Karnataka,Davangere,Davangere,Banana,"Elakki Bale","Ref grade-1",31/01/2025,2500,3000,2800,19
Karnataka,Davangere,Davangere,Raddish,Raddish,FAQ,01/01/2025,1400,2000,1700,161
Karnataka,Davangere,Davangere,Raddish,Raddish,FAQ,09/01/2025,1500,2000,1800,161
Karnataka,Davangere,Davangere,Raddish,Raddish,FAQ,17/01/2025,1400,2000,1700,161
Karnataka,Davangere,Davangere,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,01/01/2025,3500,4000,3800,160
Karnataka,Davangere,Davangere,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,07/01/2025,3500,4500,4000,160
