State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Dharwad,"Hubli (Amaragol)","Alasande Gram","Alasande Gram",FAQ,27/01/2025,4201,6276,5651,281
Karnataka,Dharwad,"Hubli (Amaragol)","Chapparad Avare","Chapparada Avarekai",FAQ,08/01/2025,2410,2410,2410,169
Karnataka,Dharwad,"Hubli (Amaragol)","Kulthi(Horse Gram)","Horse gram (Whole)",FAQ,13/01/2025,3501,4816,3900,114
Karnataka,Dharwad,"Hubli (Amaragol)","Kulthi(Horse Gram)","Horse gram (Whole)",FAQ,29/01/2025,3822,3822,3822,114
Karnataka,Dharwad,"Hubli (Amaragol)","Dry Chillies",Kaddi,FAQ,01/01/2025,1519,29900,13550,132
Karnataka,Dharwad,"Hubli (Amaragol)","Dry Chillies",Kaddi,FAQ,07/01/2025,5000,13000,9054,132
Karnataka,Dharwad,"Hubli (Amaragol)","Dry Chillies",Kaddi,FAQ,11/01/2025,1000,42599,18000,132
Karnataka,Dharwad,"Hubli (Amaragol)","Dry Chillies",Kaddi,FAQ,18/01/2025,1500,45200,13983,132
Karnataka,Dharwad,Kundagol,"Dry Chillies",Local,"Ref grade-1",31/01/2025,24100,25000,24344,132
Karnataka,Dharwad,"Hubli (Amaragol)","Dry Chillies",Kaddi,FAQ,13/01/2025,1000,32189,22150,132
Karnataka,Dharwad,"Hubli (Amaragol)",Alsandikai,Alsandikai,FAQ,04/01/2025,8119,8119,8119,166
Karnataka,Dharwad,"Hubli (Amaragol)",Safflower,Safflower,FAQ,06/01/2025,4651,4651,4651,59
Karnataka,Dharwad,"Hubli (Amaragol)",Coriander(Leaves),Local,FAQ,11/01/2025,5486,5616,5500,43
Karnataka,Dharwad,"Hubli (Amaragol)",Jowar(Sorghum),"Jowar ( White)",FAQ,01/01/2025,1422,2246,1862,5
Karnataka,Dharwad,"Hubli (Amaragol)",Jowar(Sorghum),"Jowar ( White)",FAQ,07/01/2025,1722,2429,2281,5
Karnataka,Dharwad,"Hubli (Amaragol)",Jowar(Sorghum),"Jowar ( White)",FAQ,13/01/2025,1651,2510,2400,5
Karnataka,Dharwad,"Hubli (Amaragol)",Jowar(Sorghum),"Jowar ( White)",FAQ,22/01/2025,1771,2101,1893,5
Karnataka,Dharwad,"Hubli (Amaragol)",Groundnut,Balli/Habbu,FAQ,01/01/2025,4219,4670,4409,10
Karnataka,Dharwad,"Hubli (Amaragol)",Groundnut,Gejje,FAQ,07/01/2025,3560,5459,4096,10
Karnataka,Dharwad,"Hubli (Amaragol)",Groundnut,Gejje,"Ref grade-1",31/01/2025,3699,4399,3960,10
Karnataka,Dharwad,Kundagol,Groundnut,Gejje,FAQ,04/01/2025,6250,6250,6250,10
Karnataka,Dharwad,Annigeri,"Bengal Gram(Gram)(Whole)",Jawari/Local,"Ref grade-1",31/01/2025,5800,5950,5905,6
Karnataka,Dharwad,"Hubli (Amaragol)","Bengal Gram(Gram)(Whole)",Jawari/Local,FAQ,21/01/2025,5510,6000,5878,6
Karnataka,Dharwad,"Hubli (Amaragol)","Bengal Gram(Gram)(Whole)",Other,FAQ,28/01/2025,7075,7264,7150,6
Karnataka,Dharwad,"Hubli (Amaragol)","Bengal Gram(Gram)(Whole)",Other,"Ref grade-1",30/01/2025,6909,6909,6909,6
Karnataka,Dharwad,Kalagategi,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,15/01/2025,6500,6500,6500,6
Karnataka,Dharwad,Annigeri,Maize,Local,"Ref grade-1",31/01/2025,2200,2350,2327,4
Karnataka,Dharwad,"Hubli (Amaragol)",Maize,Local,FAQ,03/01/2025,2266,2302,2286,4
Karnataka,Dharwad,"Hubli (Amaragol)",Maize,Local,FAQ,06/01/2025,2010,2342,2100,4
Karnataka,Dharwad,"Hubli (Amaragol)",Maize,Local,FAQ,13/01/2025,2170,2301,2200,4
Karnataka,Dharwad,"Hubli (Amaragol)",Maize,Local,FAQ,18/01/2025,2009,2312,2284,4
Karnataka,Dharwad,"Hubli (Amaragol)",Maize,Local,FAQ,22/01/2025,2206,2206,2206,4
Karnataka,Dharwad,"Hubli (Amaragol)",Maize,Local,"Ref grade-1",30/01/2025,1616,2251,2165,4
Karnataka,Dharwad,Kalagategi,Maize,Local,FAQ,20/01/2025,2100,2400,2233,4
Karnataka,Dharwad,Kalagategi,Maize,Local,FAQ,23/01/2025,2010,2365,2209,4
Karnataka,Dharwad,Kalagategi,Maize,Local,"Ref grade-1",31/01/2025,2100,2360,2248,4
Karnataka,Dharwad,Kundagol,Maize,Local,FAQ,17/01/2025,1500,1880,1559,4
Karnataka,Dharwad,Kundagol,Maize,Local,"Ref grade-1",31/01/2025,1750,1880,1807,4
Karnataka,Dharwad,"Hubli (Amaragol)",Soyabean,Soyabeen,FAQ,10/01/2025,2670,4325,3900,13
Karnataka,Dharwad,"Hubli (Amaragol)",Soyabean,Soyabeen,FAQ,24/01/2025,3931,4149,4065,13
Karnataka,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,13/01/2025,4000,4270,4199,13
Karnataka,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,28/01/2025,4073,4190,4149,13
Karnataka,Dharwad,"Hubli (Amaragol)",Soyabean,Soyabeen,FAQ,25/01/2025,501,4210,3700,13
Karnataka,Dharwad,"Hubli (Amaragol)",Soyabean,Soyabeen,FAQ,27/01/2025,3100,4213,4010,13
Karnataka,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,04/01/2025,4003,4200,4166,13
Karnataka,Dharwad,"Hubli (Amaragol)","Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",FAQ,11/01/2025,2516,5570,4200,8
Karnataka,Dharwad,"Hubli (Amaragol)","Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",FAQ,15/01/2025,4500,5246,4848,8
Karnataka,Dharwad,"Hubli (Amaragol)","Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",FAQ,21/01/2025,5289,5289,5289,8
Karnataka,Dharwad,Kundagol,"Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",FAQ,21/01/2025,6000,6000,6000,8
Karnataka,Dharwad,"Hubli (Amaragol)",Soyabean,Soyabeen,FAQ,16/01/2025,2370,4259,3900,13
Karnataka,Dharwad,"Hubli (Amaragol)",Soyabean,Soyabeen,FAQ,28/01/2025,3610,4180,3970,13
