State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Gadag,Gadag,Sajje,Sajje,FAQ,15/02/2025,1877,2021,1928,271
Karnataka,Gadag,Gadag,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,06/02/2025,580,6069,5801,6
Karnataka,Gadag,Gadag,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,24/02/2025,3801,5969,5674,6
Karnataka,Gadag,Gadag,"Bengal Gram(Gram)(Whole)","Average (Whole)","Ref grade-1",01/02/2025,2877,5963,5726,6
Karnataka,Gadag,Gadag,"Bengal Gram(Gram)(Whole)","Average (Whole)","Ref grade-1",03/02/2025,1477,5976,5638,6
Karnataka,Gadag,Laxmeshwar,"Bengal Gram(Gram)(Whole)",Jawari/Local,FAQ,25/02/2025,3050,5730,5541,6
Karnataka,Gadag,Rona,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,06/02/2025,5639,5876,5750,6
Karnataka,Gadag,Rona,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,08/02/2025,5828,5989,5913,6
Karnataka,Gadag,Rona,"Bajra(Pearl Millet/Cumbu)",Hybrid,"Ref grade-1",03/02/2025,2139,2139,2139,28
Karnataka,Gadag,Laxmeshwar,Soyabean,Soyabeen,FAQ,27/02/2025,2869,4029,3753,13
Karnataka,Gadag,Gadag,Sunflower,Sunflower,FAQ,07/02/2025,5789,5789,5789,14
Karnataka,Gadag,Gadag,Sunflower,Sunflower,FAQ,17/02/2025,5919,6219,6172,14
Karnataka,Gadag,Gadag,Sunflower,Sunflower,FAQ,28/02/2025,6170,6170,6170,14
Karnataka,Gadag,Laxmeshwar,Sunflower,Sunflower,FAQ,27/02/2025,6089,6089,6089,14
Karnataka,Gadag,Gadag,Jowar(Sorghum),"Jowar ( White)",FAQ,22/02/2025,1344,2293,1986,5
Karnataka,Gadag,Gadag,Jowar(Sorghum),"Jowar ( White)",FAQ,25/02/2025,1444,2560,2273,5
Karnataka,Gadag,Gadag,Maize,Local,FAQ,15/02/2025,2011,2203,2169,4
Karnataka,Gadag,Gadag,Maize,Local,FAQ,19/02/2025,1227,2244,2123,4
Karnataka,Gadag,Gadag,Maize,Local,FAQ,21/02/2025,2159,2221,2194,4
Karnataka,Gadag,Gadag,Maize,Local,FAQ,22/02/2025,2019,2144,2073,4
Karnataka,Gadag,Laxmeshwar,Maize,Local,FAQ,27/02/2025,2175,2175,2175,4
Karnataka,Gadag,Gadag,Groundnut,Gejje,FAQ,07/02/2025,4147,4206,4160,10
Karnataka,Gadag,Gadag,Groundnut,Gejje,FAQ,20/02/2025,4110,4612,4498,10
Karnataka,Gadag,Laxmeshwar,Groundnut,Balli/Habbu,FAQ,25/02/2025,2259,4239,3819,10
Karnataka,Gadag,Rona,Groundnut,Gejje,FAQ,08/02/2025,1800,6209,4936,10
Karnataka,Gadag,Rona,Groundnut,Gejje,FAQ,17/02/2025,2879,6833,5581,10
Karnataka,Gadag,Rona,Groundnut,Gejje,FAQ,20/02/2025,2320,6839,5142,10
Karnataka,Gadag,Rona,Groundnut,Gejje,FAQ,24/02/2025,2899,6859,5463,10
Karnataka,Gadag,Gadag,Mustard,Other,FAQ,28/02/2025,4811,4811,4811,12
Karnataka,Gadag,Laxmeshwar,Mustard,Other,FAQ,27/02/2025,5360,5819,5634,12
Karnataka,Gadag,Gadag,"Corriander seed","Coriander Seed",FAQ,17/02/2025,5011,5011,5011,108
Karnataka,Gadag,Gadag,Jowar(Sorghum),"Jowar ( White)",FAQ,17/02/2025,1830,2317,2108,5
