State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Hassan,Hassan,Brinjal,Other,"Ref grade-1",30/01/2025,1800,2100,2100,35
Karnataka,Hassan,Belur,Tomato,Hybrid,FAQ,26/01/2025,1000,2500,1000,78
Karnataka,Hassan,Belur,Tomato,Hybrid,FAQ,04/01/2025,1000,1000,1000,78
Karnataka,Hassan,Arasikere,Beans,"Beans (Whole)",FAQ,18/01/2025,1500,6500,3000,94
Karnataka,Hassan,Belur,Beans,"Beans (Whole)",FAQ,05/01/2025,3000,5000,3000,94
Karnataka,Hassan,Belur,Beans,"Beans (Whole)",FAQ,19/01/2025,3000,4000,3000,94
Karnataka,Hassan,Hassan,Beans,"Beans (Whole)","Ref grade-1",31/01/2025,2100,3400,2100,94
Karnataka,Hassan,Arasikere,"Ragi (Finger Millet)",Local,FAQ,27/01/2025,2853,2900,2900,30
Karnataka,Hassan,Arasikere,"Elephant Yam (Suran)","Elephant Yam (Suran)",FAQ,13/01/2025,3200,3200,3200,296
Karnataka,Hassan,Arasikere,"Elephant Yam (Suran)","Elephant Yam (Suran)",FAQ,22/01/2025,2000,2000,2000,296
Karnataka,Hassan,Arasikere,"Elephant Yam (Suran)","Elephant Yam (Suran)",FAQ,28/01/2025,1800,1800,1800,296
Karnataka,Hassan,Arasikere,"Tamarind Seed","Tamarind Seed",FAQ,27/01/2025,3130,3185,3130,208
Karnataka,Hassan,Arasikere,Coconut,Grade-III,FAQ,02/01/2025,27000,28000,28000,138
Karnataka,Hassan,Arasikere,Coconut,Grade-III,FAQ,04/01/2025,15000,25000,20000,138
Karnataka,Hassan,Arasikere,Coconut,Grade-III,FAQ,09/01/2025,19500,31000,25000,138
Karnataka,Hassan,Arasikere,Coconut,Grade-III,FAQ,17/01/2025,15000,19900,19900,138
Karnataka,Hassan,Arasikere,Coconut,Grade-III,FAQ,23/01/2025,19000,19610,19000,138
Karnataka,Hassan,Arasikere,Coconut,Grade-III,FAQ,29/01/2025,15000,15000,15000,138
Karnataka,Hassan,Arasikere,Coconut,Grade-III,"Ref grade-1",31/01/2025,24000,24000,24000,138
Karnataka,Hassan,Belur,Coconut,Coconut,FAQ,22/01/2025,19000,29000,27000,138
Karnataka,Hassan,Channarayapatna,Coconut,"Grade- II",FAQ,16/01/2025,20000,20000,20000,138
Karnataka,Hassan,Channarayapatna,Coconut,"Grade- II",FAQ,20/01/2025,20000,25000,20000,138
Karnataka,Hassan,Channarayapatna,Coconut,"Grade- II",FAQ,29/01/2025,20000,20000,20000,138
Karnataka,Hassan,Arasikere,"Bhindi(Ladies Finger)",Bhindi,FAQ,18/01/2025,2500,2500,2500,85
Karnataka,Hassan,Arasikere,"Green Gram Dal (Moong Dal)","Green Gram Dal",FAQ,28/01/2025,10000,10000,10000,265
Karnataka,Hassan,Hassan,"Green Gram Dal (Moong Dal)","Green Gram Dal","Ref grade-1",30/01/2025,10250,10250,10250,265
Karnataka,Hassan,Arasikere,"Arhar Dal(Tur Dal)","Arhar Dal(Tur)",FAQ,28/01/2025,14667,14667,14667,260
Karnataka,Hassan,Arasikere,"Ground Nut Seed","Ground Nut Seed",FAQ,13/01/2025,4000,4400,4400,268
Karnataka,Hassan,Arasikere,Arecanut(Betelnut/Supari),Other,FAQ,27/01/2025,10000,10000,10000,140
Karnataka,Hassan,Sakaleshpura,Arecanut(Betelnut/Supari),Other,FAQ,27/01/2025,31000,31000,31000,140
Karnataka,Hassan,Belur,Ginger(Green),"Green Ginger",FAQ,04/01/2025,1500,1500,1500,103
Karnataka,Hassan,Belur,Ginger(Green),"Green Ginger",FAQ,23/01/2025,1500,1600,1500,103
Karnataka,Hassan,Arasikere,"Green Chilli","Green Chilly",FAQ,18/01/2025,1000,5000,1000,87
Karnataka,Hassan,Arasikere,Ginger(Green),"Green Ginger",FAQ,27/01/2025,7000,10000,7000,103
Karnataka,Hassan,Channarayapatna,Ginger(Green),"Green Ginger","Ref grade-1",31/01/2025,900,900,900,103
Karnataka,Hassan,Hassan,Ridgeguard(Tori),Ridgeguard(Tori),"Ref grade-1",30/01/2025,1900,1900,1900,160
Karnataka,Hassan,Channarayapatna,Rice,"Hassan Dappa",FAQ,17/01/2025,3000,3000,3000,3
Karnataka,Hassan,Channarayapatna,Rice,"Hassan Dappa",FAQ,24/01/2025,3000,3000,3000,3
Karnataka,Hassan,Hassan,Rice,Other,FAQ,27/01/2025,2900,2900,2900,3
Karnataka,Hassan,Arasikere,Maize,Local,FAQ,08/01/2025,2000,2375,2050,4
