State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Haveri,Shiggauv,Cotton,GCH,FAQ,01/01/2025,5850,5950,5875,15
Karnataka,Haveri,Shiggauv,Paddy(Dhan)(Common),Paddy,FAQ,08/01/2025,2010,2200,2100,2
Karnataka,Haveri,Shiggauv,Paddy(Dhan)(Common),Paddy,FAQ,10/01/2025,1920,2110,2100,2
Karnataka,Haveri,Shiggauv,Paddy(Dhan)(Common),Paddy,FAQ,21/01/2025,2000,2100,2080,2
Karnataka,Haveri,Shiggauv,Soyabean,Soyabeen,FAQ,17/01/2025,4034,4200,4200,13
Karnataka,Haveri,Shiggauv,Soyabean,Soyabeen,FAQ,27/01/2025,4045,4133,4117,13
Karnataka,Haveri,Savanur,Cotton,GCH,FAQ,20/01/2025,2231,7361,7021,15
Karnataka,Haveri,Shiggauv,Soyabean,Soyabeen,FAQ,22/01/2025,4210,4225,4225,13
Karnataka,Haveri,Byadagi,Maize,Hybrid/Local,FAQ,10/01/2025,2200,2200,2200,4
Karnataka,Haveri,Hirekerur,Maize,Local,FAQ,08/01/2025,2250,2400,2337,4
Karnataka,Haveri,Hirekerur,Maize,Local,FAQ,24/01/2025,2300,2350,2328,4
Karnataka,Haveri,Hirekerur,Maize,Local,FAQ,27/01/2025,2220,2360,2302,4
Karnataka,Haveri,Hirekerur,Maize,Local,"Ref grade-1",31/01/2025,2100,2343,2224,4
Karnataka,Haveri,Savanur,Maize,Hybrid/Local,FAQ,13/01/2025,2120,2525,2400,4
Karnataka,Haveri,Shiggauv,Maize,Hybrid/Local,FAQ,18/01/2025,1950,2435,2300,4
Karnataka,Haveri,Shiggauv,Maize,Hybrid/Local,FAQ,20/01/2025,2100,2360,2345,4
Karnataka,Haveri,Haveri,"Kulthi(Horse Gram)","Horse gram (Whole)","Ref grade-1",30/01/2025,3850,3950,3900,114
Karnataka,Haveri,Savanur,Groundnut,Gejje,FAQ,02/01/2025,2529,5293,4162,10
Karnataka,Haveri,Savanur,Groundnut,Gejje,FAQ,06/01/2025,1289,5669,3886,10
Karnataka,Haveri,Shiggauv,Soyabean,Soyabeen,"Ref grade-1",31/01/2025,3802,4039,4039,13
Karnataka,Haveri,Byadagi,"Dry Chillies",Guntur,FAQ,09/01/2025,1029,16759,14009,132
Karnataka,Haveri,Shiggauv,Soyabean,Soyabeen,FAQ,21/02/2025,4303,4413,4413,13
Karnataka,Haveri,Byadagi,Ginger(Dry),Dry,FAQ,24/02/2025,1700,1700,1700,27
Karnataka,Haveri,Savanur,Groundnut,Balli/Habbu,FAQ,17/02/2025,1514,4911,3647,10
Karnataka,Haveri,Byadagi,"Dry Chillies",Dabbi,FAQ,24/02/2025,3109,36119,29000,132
Karnataka,Haveri,Byadagi,"Dry Chillies",Guntur,FAQ,24/02/2025,989,16109,14009,132
Karnataka,Haveri,Byadagi,"Dry Chillies",Guntur,FAQ,28/02/2025,909,15589,13509,132
Karnataka,Haveri,Byadagi,"Dry Chillies",Kaddi,FAQ,06/02/2025,3069,37111,29000,132
Karnataka,Haveri,Byadagi,"Dry Chillies",Kaddi,"Ref grade-1",05/02/2025,1600,1600,1600,132
Karnataka,Haveri,Shiggauv,"Dry Chillies",Other,FAQ,22/02/2025,8000,8000,8000,132
Karnataka,Haveri,Savanur,Cotton,GCH,"Ref grade-1",03/02/2025,6583,7333,7249,15
Karnataka,Haveri,Hirekerur,Ginger(Green),"Green Ginger",FAQ,19/02/2025,1500,1500,1500,103
Karnataka,Haveri,Hirekerur,Ginger(Green),"Green Ginger",FAQ,28/02/2025,1110,1110,1110,103
Karnataka,Haveri,Hirekerur,Paddy(Dhan)(Common),Paddy,FAQ,28/02/2025,2400,2400,2400,2
Karnataka,Haveri,Shiggauv,Paddy(Dhan)(Common),Paddy,FAQ,28/02/2025,2050,2200,2050,2
Karnataka,Haveri,Shiggauv,Paddy(Dhan)(Common),Paddy,"Ref grade-1",02/02/2025,2050,2200,2200,2
Karnataka,Haveri,Byadagi,Maize,Hybrid/Local,FAQ,28/02/2025,2250,2270,2260,4
Karnataka,Haveri,Hirekerur,Maize,Local,FAQ,07/02/2025,2240,2240,2240,4
Karnataka,Haveri,Savanur,Maize,Hybrid/Local,FAQ,06/02/2025,2180,2393,2250,4
Karnataka,Haveri,Savanur,Maize,Hybrid/Local,FAQ,13/02/2025,2250,2400,2350,4
Karnataka,Haveri,Savanur,Maize,Hybrid/Local,FAQ,18/02/2025,2435,2435,2435,4
Karnataka,Haveri,Shiggauv,Maize,Hybrid/Local,FAQ,05/02/2025,2050,2390,2100,4
Karnataka,Haveri,Shiggauv,Maize,Hybrid/Local,FAQ,08/02/2025,2100,2400,2100,4
Karnataka,Haveri,Shiggauv,Maize,Hybrid/Local,FAQ,10/02/2025,2200,2340,2330,4
Karnataka,Haveri,Shiggauv,Maize,Hybrid/Local,FAQ,22/02/2025,2100,2440,2365,4
Karnataka,Haveri,Shiggauv,Maize,Hybrid/Local,"Ref grade-1",03/02/2025,2100,2295,2250,4
Karnataka,Haveri,Haveri,Rice,Coarse,FAQ,28/04/2025,2300,2300,2300,3
Karnataka,Haveri,Haveri,"Kulthi(Horse Gram)","Horse gram (Whole)",FAQ,09/04/2025,3600,3600,3600,114
Karnataka,Haveri,Haveri,Sunflower,Local,FAQ,23/04/2025,0,0,5100,14
Karnataka,Haveri,Haveri,Soyabean,Soyabeen,FAQ,02/04/2025,0,0,4100,13
Karnataka,Haveri,Haveri,Soyabean,Soyabeen,FAQ,08/04/2025,0,0,4290,13
Karnataka,Haveri,Haveri,Soyabean,Soyabeen,FAQ,11/04/2025,0,0,4350,13
Karnataka,Haveri,Haveri,"Tamarind Seed","Tamarind Seed",FAQ,21/04/2025,3800,3800,3800,208
Karnataka,Haveri,Savanur,Maize,Hybrid/Local,FAQ,15/03/2025,0,0,2400,4
Karnataka,Haveri,Haveri,Rice,"IR 20 Fine Raw",FAQ,29/03/2025,5656,5656,5656,3
Karnataka,Haveri,Haveri,Mataki,"Mataki (W)",FAQ,31/03/2025,5838,5838,5838,93
Karnataka,Haveri,Haveri,"Ragi (Finger Millet)",Medium,FAQ,26/05/2025,0,0,3100,30
Karnataka,Haveri,Haveri,"Black Gram Dal (Urd Dal)","Black Gram Dal",FAQ,09/05/2025,12400,12400,12400,264
Karnataka,Haveri,Haveri,Sunflower,Local,FAQ,14/05/2025,0,0,4960,14
Karnataka,Haveri,Haveri,"Kulthi(Horse Gram)","Horse gram (Whole)",FAQ,16/05/2025,3400,3400,3400,114
Karnataka,Haveri,Haveri,"Kulthi(Horse Gram)","Horse gram (Whole)",Local,23/07/2025,3000,3000,3000,114
Karnataka,Haveri,Ranebennur,Beans,"Beans (Whole)",FAQ,30/01/2025,3000,3500,3300,94
Karnataka,Haveri,Shiggauv,Lint,Other,FAQ,11/01/2025,13000,13400,13000,280
Karnataka,Haveri,Shiggauv,Lint,Other,FAQ,19/01/2025,11200,11200,11200,280
Karnataka,Haveri,Byadagi,Arecanut(Betelnut/Supari),Bette,FAQ,07/01/2025,17280,17280,17280,140
Karnataka,Haveri,Hirekerur,Ginger(Green),"Green Ginger",FAQ,08/01/2025,1500,1500,1500,103
Karnataka,Haveri,Byadagi,"Dry Chillies",Dabbi,"Ref grade-1",30/01/2025,3329,45299,30209,132
Karnataka,Haveri,Byadagi,"Dry Chillies",Guntur,FAQ,10/01/2025,1009,16500,14000,132
Karnataka,Haveri,Byadagi,"Dry Chillies",Kaddi,"Ref grade-1",30/01/2025,3109,34881,28509,132
Karnataka,Haveri,Savanur,Groundnut,Gejje,FAQ,13/01/2025,1212,5041,3761,10
Karnataka,Haveri,Byadagi,Maize,Hybrid/Local,FAQ,09/01/2025,2100,2252,2200,4
Karnataka,Haveri,Byadagi,Maize,Hybrid/Local,FAQ,11/01/2025,2250,2300,2260,4
Karnataka,Haveri,Byadagi,Maize,Hybrid/Local,FAQ,17/01/2025,2330,2330,2330,4
Karnataka,Haveri,Hanagal,Maize,Local,FAQ,30/01/2025,2100,2250,2100,4
Karnataka,Haveri,Hirekerur,Maize,Local,FAQ,10/01/2025,2100,2350,2189,4
Karnataka,Haveri,Hirekerur,Maize,Local,FAQ,22/01/2025,2149,2300,2258,4
Karnataka,Haveri,Savanur,Maize,Hybrid/Local,"Ref grade-1",29/01/2025,2200,2400,2385,4
Karnataka,Haveri,Savanur,Maize,Hybrid/Local,"Ref grade-1",30/01/2025,2225,2450,2335,4
Karnataka,Haveri,Shiggauv,Maize,Hybrid/Local,FAQ,08/01/2025,2185,2430,2340,4
Karnataka,Haveri,Shiggauv,Maize,Hybrid/Local,FAQ,11/01/2025,2100,2440,2355,4
Karnataka,Haveri,Shiggauv,Maize,Hybrid/Local,FAQ,17/01/2025,2000,2435,2260,4
Karnataka,Haveri,Shiggauv,Maize,Hybrid/Local,FAQ,21/01/2025,2000,2400,2300,4
Karnataka,Haveri,Shiggauv,Maize,Hybrid/Local,FAQ,22/01/2025,1975,2400,2100,4
Karnataka,Haveri,Shiggauv,Maize,Hybrid/Local,"Ref grade-1",30/01/2025,2100,2470,2310,4
Karnataka,Haveri,Shiggauv,Maize,Hybrid/Local,"Ref grade-1",31/01/2025,2000,2380,2300,4
Karnataka,Haveri,Shiggauv,Soyabean,Soyabeen,FAQ,08/01/2025,4200,4200,4200,13
Karnataka,Haveri,Shiggauv,Soyabean,Soyabeen,FAQ,11/01/2025,4042,4526,4200,13
Karnataka,Haveri,Haveri,Mustard,Other,"Ref grade-1",31/01/2025,6000,6000,6000,12
Karnataka,Haveri,Haveri,Paddy(Dhan)(Common),Paddy,FAQ,24/01/2025,2100,2100,2100,2
Karnataka,Haveri,Hirekerur,Paddy(Dhan)(Common),Paddy,"Ref grade-1",31/01/2025,2400,2400,2400,2
Karnataka,Haveri,Shiggauv,Paddy(Dhan)(Common),Paddy,FAQ,17/01/2025,2200,2200,2200,2
Karnataka,Haveri,Shiggauv,Paddy(Dhan)(Common),Paddy,FAQ,22/01/2025,2275,2275,2275,2
Karnataka,Haveri,Ranebennur,Cucumbar(Kheera),Cucumbar,FAQ,27/01/2025,800,1800,1300,159
Karnataka,Haveri,Haveri,Cotton,GCH,FAQ,28/03/2025,0,0,6400,15
Karnataka,Haveri,Savanur,Cotton,GCH,FAQ,17/03/2025,6281,6859,6543,15
