State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Kalburgi,Kalburgi,Brinjal,Brinjal,FAQ,27/01/2025,2500,3500,3000,35
Karnataka,Kalburgi,Kalburgi,Tomato,Tomato,FAQ,08/01/2025,250,750,500,78
Karnataka,Kalburgi,Kalburgi,Tomato,Tomato,FAQ,09/01/2025,250,750,500,78
Karnataka,Kalburgi,Kalburgi,Tomato,Tomato,FAQ,18/01/2025,100,500,300,78
Karnataka,Kalburgi,Kalburgi,"Green Chilli","Green Chilly",FAQ,08/01/2025,1500,2500,2000,87
Karnataka,Kalburgi,Kalburgi,"Green Chilli","Green Chilly",FAQ,09/01/2025,2500,3000,2750,87
Karnataka,Kalburgi,Kalburgi,"Green Chilli","Green Chilly",FAQ,13/01/2025,1000,2000,1500,87
Karnataka,Kalburgi,Kalburgi,"Green Chilli","Green Chilly",FAQ,23/01/2025,2000,3000,2500,87
Karnataka,Kalburgi,Kalburgi,"Green Chilli","Green Chilly",FAQ,25/01/2025,2000,3000,2500,87
Karnataka,Kalburgi,Kalburgi,Beans,"Beans (Whole)",FAQ,10/02/2025,3000,4000,3500,94
Karnataka,Kalburgi,Kalburgi,Beans,"Beans (Whole)",FAQ,18/02/2025,3000,4000,3500,94
Karnataka,Kalburgi,Kalburgi,Beans,"Beans (Whole)",FAQ,22/02/2025,3000,4000,3500,94
Karnataka,Kalburgi,Kalburgi,Beans,"Beans (Whole)",FAQ,25/02/2025,3500,4000,3750,94
Karnataka,Kalburgi,Kalburgi,Beans,"Beans (Whole)","Ref grade-1",01/02/2025,3000,4000,3500,94
Karnataka,Kalburgi,Kalburgi,Beans,"Beans (Whole)","Ref grade-1",03/02/2025,3000,4000,3500,94
Karnataka,Kalburgi,Kalburgi,Brinjal,Brinjal,FAQ,06/02/2025,2000,3000,2500,35
Karnataka,Kalburgi,Kalburgi,Brinjal,Brinjal,FAQ,12/02/2025,2500,3000,2750,35
Karnataka,Kalburgi,Kalburgi,Brinjal,Brinjal,FAQ,17/02/2025,2000,3000,2500,35
Karnataka,Kalburgi,Kalburgi,Brinjal,Brinjal,FAQ,18/02/2025,2000,3000,2500,35
Karnataka,Kalburgi,Kalburgi,Brinjal,Brinjal,FAQ,20/02/2025,2000,3000,2500,35
Karnataka,Kalburgi,Kalburgi,"Green Gram (Moong)(Whole)","Green (Whole)",FAQ,15/02/2025,5000,7800,6500,9
Karnataka,Kalburgi,Kalburgi,"Green Gram (Moong)(Whole)","Green (Whole)",FAQ,17/02/2025,5000,7800,6500,9
Karnataka,Kalburgi,Kalburgi,"Green Gram (Moong)(Whole)","Green (Whole)",FAQ,19/02/2025,4850,7500,6300,9
Karnataka,Kalburgi,Kalburgi,"Green Gram (Moong)(Whole)","Green (Whole)","Ref grade-1",03/02/2025,5125,8200,7000,9
Karnataka,Kalburgi,Kalburgi,"Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",FAQ,11/02/2025,4275,6575,6120,8
Karnataka,Kalburgi,Kalburgi,Pineapple,"Pine Apple","Ref grade-1",01/02/2025,20,40,30,21
Karnataka,Kalburgi,Kalburgi,Pineapple,"Pine Apple","Ref grade-1",05/02/2025,20,40,30,21
Karnataka,Kalburgi,Kalburgi,"Bhindi(Ladies Finger)",Bhindi,FAQ,06/02/2025,2000,3000,2500,85
Karnataka,Kalburgi,Kalburgi,"Bhindi(Ladies Finger)",Bhindi,FAQ,08/02/2025,1000,2000,1500,85
Karnataka,Kalburgi,Kalburgi,"Bhindi(Ladies Finger)",Bhindi,FAQ,22/02/2025,2000,3000,2500,85
Karnataka,Kalburgi,Kalburgi,"Bhindi(Ladies Finger)",Bhindi,"Ref grade-1",03/02/2025,2000,3000,2500,85
Karnataka,Kalburgi,Kalburgi,"Green Chilli","Green Chilly",FAQ,08/02/2025,3000,3500,3250,87
Karnataka,Kalburgi,Kalburgi,"Green Chilli","Green Chilly",FAQ,11/02/2025,2500,3000,2750,87
Karnataka,Kalburgi,Kalburgi,"Green Chilli","Green Chilly",FAQ,20/02/2025,2000,3000,2500,87
Karnataka,Kalburgi,Kalburgi,Tomato,Tomato,FAQ,07/02/2025,250,500,375,78
Karnataka,Kalburgi,Kalburgi,Tomato,Tomato,FAQ,15/02/2025,250,500,375,78
Karnataka,Kalburgi,Kalburgi,Tomato,Tomato,FAQ,19/02/2025,400,1000,700,78
Karnataka,Kalburgi,Kalburgi,Tomato,Tomato,FAQ,21/02/2025,250,500,375,78
Karnataka,Kalburgi,Kalburgi,Jowar(Sorghum),"Jowar ( White)",FAQ,11/01/2025,2150,3300,2750,5
Karnataka,Kalburgi,Kalburgi,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,03/01/2025,5811,5811,5811,6
Karnataka,Kalburgi,Kalburgi,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,09/01/2025,6369,6369,6369,6
Karnataka,Kalburgi,Kalburgi,"Bengal Gram(Gram)(Whole)","Average (Whole)","Ref grade-1",30/01/2025,5729,5900,5825,6
Karnataka,Kalburgi,Sedam,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,07/01/2025,6750,6750,6750,6
Karnataka,Kalburgi,Kalburgi,Maize,Local,FAQ,18/01/2025,1980,2500,2150,4
Karnataka,Kalburgi,Chincholi,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,24/01/2025,7200,7300,7250,49
Karnataka,Kalburgi,Chittapur,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,03/01/2025,6800,8310,8300,49
Karnataka,Kalburgi,Kalburgi,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,20/01/2025,6100,8129,7300,49
Karnataka,Kalburgi,Kalburgi,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,21/01/2025,6200,8152,7555,49
Karnataka,Kalburgi,Sedam,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,03/01/2025,6801,8400,8185,49
Karnataka,Kalburgi,Kalburgi,Brinjal,Brinjal,FAQ,02/01/2025,2000,3000,2500,35
Karnataka,Kalburgi,Kalburgi,Brinjal,Brinjal,FAQ,18/01/2025,3000,3500,3250,35
Karnataka,Kalburgi,Kalburgi,"Green Gram (Moong)(Whole)","Green (Whole)",FAQ,07/01/2025,4200,8000,6800,9
Karnataka,Kalburgi,Kalburgi,"Green Gram (Moong)(Whole)","Green (Whole)",FAQ,25/01/2025,4500,8000,7000,9
Karnataka,Kalburgi,Kalburgi,"Green Gram (Moong)(Whole)","Green (Whole)",FAQ,27/01/2025,4500,7800,7000,9
Karnataka,Kalburgi,Kalburgi,"Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",FAQ,06/01/2025,4100,7800,5500,8
Karnataka,Kalburgi,Kalburgi,"Black Gram (Urd Beans)(Whole)","Black Gram (Whole)","Ref grade-1",30/01/2025,4300,7500,6000,8
Karnataka,Kalburgi,Kalburgi,Beans,"Beans (Whole)",FAQ,03/01/2025,4000,5000,4500,94
Karnataka,Kalburgi,Kalburgi,Beans,"Beans (Whole)",FAQ,06/01/2025,3000,4000,3500,94
Karnataka,Kalburgi,Kalburgi,Beans,"Beans (Whole)",FAQ,07/01/2025,3500,4500,4000,94
Karnataka,Kalburgi,Kalburgi,Safflower,Safflower,FAQ,23/01/2025,5000,5800,5200,59
Karnataka,Kalburgi,Kalburgi,Safflower,Safflower,FAQ,10/01/2025,4100,5300,4750,59
Karnataka,Kalburgi,Kalburgi,Safflower,Safflower,FAQ,18/01/2025,4350,5800,5100,59
Karnataka,Kalburgi,Kalburgi,Safflower,Safflower,FAQ,20/01/2025,5000,5600,5400,59
Karnataka,Kalburgi,Kalburgi,Safflower,Safflower,FAQ,21/01/2025,4350,5800,5250,59
Karnataka,Kalburgi,Kalburgi,"Bajra(Pearl Millet/Cumbu)",Local,FAQ,11/01/2025,2200,2800,2500,28
Karnataka,Kalburgi,Kalburgi,"Bajra(Pearl Millet/Cumbu)",Local,FAQ,17/01/2025,2800,3200,3000,28
Karnataka,Kalburgi,Kalburgi,"Bajra(Pearl Millet/Cumbu)",Local,"Ref grade-1",30/01/2025,2200,3000,2850,28
Karnataka,Kalburgi,Kalburgi,"Bajra(Pearl Millet/Cumbu)",Local,"Ref grade-1",31/01/2025,2000,3000,2650,28
Karnataka,Kalburgi,Kalburgi,Potato,Potato,FAQ,01/01/2025,1000,1400,1200,24
Karnataka,Kalburgi,Kalburgi,Potato,Potato,FAQ,02/01/2025,1000,1200,1100,24
Karnataka,Kalburgi,Kalburgi,Potato,Potato,FAQ,04/01/2025,1100,1400,1250,24
Karnataka,Kalburgi,Kalburgi,"Bhindi(Ladies Finger)",Bhindi,FAQ,01/01/2025,2500,3000,2750,85
Karnataka,Kalburgi,Kalburgi,"Bhindi(Ladies Finger)",Bhindi,FAQ,03/01/2025,2000,3000,2500,85
Karnataka,Kalburgi,Kalburgi,"Bhindi(Ladies Finger)",Bhindi,FAQ,08/01/2025,2000,3000,2500,85
Karnataka,Kalburgi,Kalburgi,"Bhindi(Ladies Finger)",Bhindi,FAQ,10/01/2025,2000,3000,2500,85
Karnataka,Kalburgi,Kalburgi,"Bhindi(Ladies Finger)",Bhindi,FAQ,11/01/2025,2000,3000,2500,85
Karnataka,Kalburgi,Chittapur,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,20/01/2025,5000,7900,7700,49
Karnataka,Kalburgi,Kalburgi,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,07/01/2025,6526,8653,7511,49
Karnataka,Kalburgi,Chittapur,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,06/01/2025,6000,8040,7800,49
Karnataka,Kalburgi,Kalburgi,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,01/01/2025,6126,8812,8003,49
Karnataka,Kalburgi,Kalburgi,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,10/01/2025,6085,8361,7809,49
Karnataka,Kalburgi,Kalburgi,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,27/01/2025,5859,8159,7156,49
Karnataka,Kalburgi,Kalburgi,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,28/01/2025,6000,8112,7400,49
Karnataka,Kalburgi,Sedam,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,29/01/2025,5600,7800,7223,49
Karnataka,Kalburgi,Kalburgi,Jowar(Sorghum),"Jowar ( White)",FAQ,21/01/2025,2550,3250,2855,5
Karnataka,Kalburgi,Kalburgi,Jowar(Sorghum),"Jowar ( White)","Ref grade-1",31/01/2025,2400,3200,2800,5
Karnataka,Kalburgi,Chittapur,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,27/01/2025,5810,7460,7170,6
Karnataka,Kalburgi,Kalburgi,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,20/01/2025,6211,6211,6211,6
Karnataka,Kalburgi,Kalburgi,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,21/01/2025,5811,6104,5900,6
Karnataka,Kalburgi,Kalburgi,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,24/01/2025,5800,5950,5900,6
Karnataka,Kalburgi,Kalburgi,"Bengal Gram(Gram)(Whole)","Average (Whole)","Ref grade-1",31/01/2025,5354,5959,5759,6
Karnataka,Kalburgi,Chincholi,Soyabean,Soyabeen,FAQ,27/01/2025,4000,4200,4100,13
