State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,"Karwar(Uttar Kannad)",Kumta,Coconut,Grade-I,"Ref grade-1",30/01/2025,34509,39443,36197,138
Karnataka,"Karwar(Uttar Kannad)",Honnavar,Arecanut(Betelnut/Supari),Ripe,FAQ,01/01/2025,30000,31000,30500,140
Karnataka,"Karwar(Uttar Kannad)",Honnavar,Arecanut(Betelnut/Supari),Ripe,FAQ,04/01/2025,30000,31000,30500,140
Karnataka,"Karwar(Uttar Kannad)",Honnavar,Arecanut(Betelnut/Supari),Ripe,"Ref grade-1",30/01/2025,30000,31000,30500,140
Karnataka,"Karwar(Uttar Kannad)",Kumta,Arecanut(Betelnut/Supari),Bette,FAQ,29/01/2025,18000,35000,30459,140
Karnataka,"Karwar(Uttar Kannad)",Kumta,Arecanut(Betelnut/Supari),Chali,FAQ,17/01/2025,32189,37499,35469,140
Karnataka,"Karwar(Uttar Kannad)",Kumta,Arecanut(Betelnut/Supari),Chali,"Ref grade-1",30/01/2025,32669,37239,36429,140
Karnataka,"Karwar(Uttar Kannad)",Kumta,Arecanut(Betelnut/Supari),Chali,"Ref grade-1",31/01/2025,30869,37199,35379,140
Karnataka,"Karwar(Uttar Kannad)",Kumta,Arecanut(Betelnut/Supari),Chippu,FAQ,06/01/2025,16699,26699,24349,140
Karnataka,"Karwar(Uttar Kannad)",Kumta,Arecanut(Betelnut/Supari),Chippu,FAQ,10/01/2025,15089,27019,25489,140
Karnataka,"Karwar(Uttar Kannad)",Kumta,Arecanut(Betelnut/Supari),Chippu,FAQ,13/01/2025,16569,26509,24379,140
Karnataka,"Karwar(Uttar Kannad)",Kumta,Arecanut(Betelnut/Supari),Cqca,FAQ,06/01/2025,6089,22699,20469,140
Karnataka,"Karwar(Uttar Kannad)",Kumta,Arecanut(Betelnut/Supari),Cqca,FAQ,17/01/2025,5099,20999,18789,140
Karnataka,"Karwar(Uttar Kannad)",Kumta,Arecanut(Betelnut/Supari),Cqca,FAQ,24/01/2025,6099,21019,19749,140
Karnataka,"Karwar(Uttar Kannad)",Kumta,Arecanut(Betelnut/Supari),Cqca,FAQ,29/01/2025,6099,20169,18979,140
Karnataka,"Karwar(Uttar Kannad)",Kumta,Arecanut(Betelnut/Supari),Cqca,"Ref grade-1",31/01/2025,6079,20099,19449,140
Karnataka,"Karwar(Uttar Kannad)",Kumta,Arecanut(Betelnut/Supari),Ripe,FAQ,17/01/2025,25089,31100,29899,140
Karnataka,"Karwar(Uttar Kannad)",Kumta,Arecanut(Betelnut/Supari),Ripe,FAQ,24/01/2025,25569,31299,30419,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Bilegotu,FAQ,10/01/2025,24319,28409,25699,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Bilegotu,FAQ,15/01/2025,24379,27899,26109,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Bilegotu,FAQ,16/01/2025,24109,27209,26299,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Bilegotu,FAQ,20/01/2025,24099,27409,25699,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Bilegotu,FAQ,23/01/2025,23689,25279,24389,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Bilegotu,FAQ,27/01/2025,23489,26889,25289,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Chali,FAQ,02/01/2025,31129,37499,36899,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Chali,FAQ,08/01/2025,32809,38699,37699,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Chali,FAQ,20/01/2025,32299,38129,37399,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Chali,FAQ,28/01/2025,32539,38189,37099,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Cqca,FAQ,06/01/2025,21399,25699,23409,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Cqca,FAQ,17/01/2025,20899,22899,22299,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Cqca,FAQ,18/01/2025,12119,13619,12119,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Kempugotu,FAQ,09/01/2025,20869,28699,20869,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Kempugotu,FAQ,16/01/2025,20319,21389,20609,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Kempugotu,FAQ,18/01/2025,21699,21699,21699,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Kempugotu,FAQ,23/01/2025,19699,21609,21309,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Kempugotu,FAQ,24/01/2025,18699,27119,21029,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Kempugotu,FAQ,27/01/2025,20309,22119,20609,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Kempugotu,FAQ,29/01/2025,20109,23899,21109,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Rashi,FAQ,15/01/2025,42099,48869,48659,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Rashi,FAQ,17/01/2025,42099,49339,48899,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Rashi,FAQ,18/01/2025,42099,49399,48699,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Rashi,FAQ,22/01/2025,42889,50199,49399,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Rashi,FAQ,29/01/2025,43309,49799,49499,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Rashi,FAQ,30/01/2025,43099,49799,49399,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Ripe,FAQ,15/01/2025,22309,34519,24289,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Ripe,FAQ,18/01/2025,24609,28899,27019,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Tattibettee,FAQ,07/01/2025,26319,34319,27509,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Tattibettee,FAQ,09/01/2025,21699,28119,25689,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Tattibettee,FAQ,10/01/2025,27009,36099,29099,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Tattibettee,FAQ,15/01/2025,26909,30299,28099,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Tattibettee,FAQ,20/01/2025,28409,41089,29099,140
Karnataka,"Karwar(Uttar Kannad)",Siddapur,Arecanut(Betelnut/Supari),Tattibettee,FAQ,28/01/2025,27709,45099,29899,140
Karnataka,"Karwar(Uttar Kannad)",Sirsi,Arecanut(Betelnut/Supari),Bette,FAQ,15/01/2025,27599,41909,33037,140
Karnataka,"Karwar(Uttar Kannad)",Sirsi,Arecanut(Betelnut/Supari),Bette,FAQ,17/01/2025,28101,44669,33605,140
Karnataka,"Karwar(Uttar Kannad)",Sirsi,Arecanut(Betelnut/Supari),Bette,FAQ,27/01/2025,27164,39199,32095,140
Karnataka,"Karwar(Uttar Kannad)",Sirsi,Arecanut(Betelnut/Supari),Bilegotu,FAQ,07/01/2025,17099,30500,26837,140
Karnataka,"Karwar(Uttar Kannad)",Sirsi,Arecanut(Betelnut/Supari),Bilegotu,FAQ,16/01/2025,21199,30499,26247,140
Karnataka,"Karwar(Uttar Kannad)",Sirsi,Arecanut(Betelnut/Supari),Bilegotu,FAQ,17/01/2025,17199,31099,26386,140
Karnataka,"Karwar(Uttar Kannad)",Sirsi,Arecanut(Betelnut/Supari),Bilegotu,FAQ,18/01/2025,20995,30419,27270,140
Karnataka,"Karwar(Uttar Kannad)",Sirsi,Arecanut(Betelnut/Supari),Bilegotu,FAQ,27/01/2025,19299,29933,23607,140
Karnataka,"Karwar(Uttar Kannad)",Sirsi,Arecanut(Betelnut/Supari),Bilegotu,FAQ,29/01/2025,15099,28899,21070,140
Karnataka,"Karwar(Uttar Kannad)",Sirsi,Arecanut(Betelnut/Supari),Chali,FAQ,01/01/2025,34298,38791,36102,140
Karnataka,"Karwar(Uttar Kannad)",Sirsi,Arecanut(Betelnut/Supari),Chali,FAQ,02/01/2025,34366,38799,37036,140
Karnataka,"Karwar(Uttar Kannad)",Sirsi,Arecanut(Betelnut/Supari),Chali,FAQ,07/01/2025,35208,39488,37742,140
Karnataka,"Karwar(Uttar Kannad)",Sirsi,Arecanut(Betelnut/Supari),Chali,FAQ,25/01/2025,34039,39508,36898,140
Karnataka,"Karwar(Uttar Kannad)",Sirsi,Arecanut(Betelnut/Supari),Kempugotu,FAQ,04/01/2025,10299,22699,13849,140
Karnataka,"Karwar(Uttar Kannad)",Sirsi,Arecanut(Betelnut/Supari),Kempugotu,FAQ,16/01/2025,13619,23601,19782,140
Karnataka,"Karwar(Uttar Kannad)",Sirsi,Arecanut(Betelnut/Supari),Kempugotu,FAQ,20/01/2025,11809,21699,16621,140
