State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Kolar,Bangarpet,Brinjal,Brinjal,FAQ,18/01/2025,1000,2000,1500,35
Karnataka,Kolar,Chintamani,Brinjal,Brinjal,FAQ,04/01/2025,1000,2500,1500,35
Karnataka,Kolar,Gowribidanoor,Brinjal,Round,FAQ,17/01/2025,2000,3000,2500,35
Karnataka,Kolar,Kolar,Brinjal,Brinjal,FAQ,17/01/2025,1500,2500,2000,35
Karnataka,Kolar,Chintamani,Tomato,Tomato,FAQ,28/01/2025,300,1460,800,78
Karnataka,Kolar,Chintamani,Tomato,Tomato,FAQ,30/01/2025,260,1330,800,78
Karnataka,Kolar,Bangarpet,"Corriander seed","Coriander Seed",FAQ,06/01/2025,6000,6700,6300,108
Karnataka,Kolar,Bangarpet,"Corriander seed","Coriander Seed",FAQ,15/01/2025,6000,7000,6600,108
Karnataka,Kolar,Bangarpet,Tomato,Tomato,FAQ,10/01/2025,300,600,400,78
Karnataka,Kolar,Bangarpet,Tomato,Tomato,FAQ,11/01/2025,300,600,450,78
Karnataka,Kolar,Bangarpet,Tomato,Tomato,FAQ,14/01/2025,300,600,450,78
Karnataka,Kolar,Bangarpet,Tomato,Tomato,FAQ,24/01/2025,700,1000,800,78
Karnataka,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,08/01/2025,400,1540,960,78
Karnataka,Kolar,Chintamani,Tomato,Tomato,FAQ,04/01/2025,230,1000,600,78
Karnataka,Kolar,Gowribidanoor,Tomato,Tomato,FAQ,01/01/2025,1000,2000,1500,78
Karnataka,Kolar,Kolar,Tomato,Tomato,FAQ,19/01/2025,300,1200,600,78
Karnataka,Kolar,Kolar,Tomato,Tomato,FAQ,23/01/2025,300,1330,660,78
Karnataka,Kolar,Kolar,Tomato,Tomato,FAQ,30/01/2025,330,1600,800,78
Karnataka,Kolar,Kolar,Tomato,Tomato,"Ref grade-1",31/01/2025,330,1333,800,78
Karnataka,Kolar,Mulabagilu,Tomato,Tomato,FAQ,03/01/2025,300,1000,600,78
Karnataka,Kolar,Srinivasapur,Tomato,Tomato,FAQ,03/01/2025,533,933,667,78
Karnataka,Kolar,Srinivasapur,Tomato,Tomato,FAQ,23/01/2025,466,1060,533,78
Karnataka,Kolar,Bangarpet,Beans,"Beans (Whole)",FAQ,07/01/2025,2000,5000,4000,94
Karnataka,Kolar,Bangarpet,Beans,"Beans (Whole)",FAQ,09/01/2025,2500,5000,4000,94
Karnataka,Kolar,Bangarpet,Beans,"Beans (Whole)",FAQ,18/01/2025,1500,3000,2500,94
Karnataka,Kolar,Chickkaballapura,Beans,"Beans (Whole)",FAQ,21/01/2025,1000,2600,2000,94
Karnataka,Kolar,Chintamani,Beans,"Beans (Whole)",FAQ,23/01/2025,2000,3500,2500,94
Karnataka,Kolar,Gowribidanoor,Beans,"Beans (Whole)",FAQ,04/01/2025,1000,2000,1500,94
Karnataka,Kolar,Kolar,Beans,"Beans (Whole)",FAQ,05/01/2025,2500,5500,4800,94
Karnataka,Kolar,Kolar,Beans,"Beans (Whole)",FAQ,06/01/2025,2500,5500,4800,94
Karnataka,Kolar,Kolar,Beans,"Beans (Whole)",FAQ,12/01/2025,2000,5500,4600,94
Karnataka,Kolar,Kolar,Beans,"Beans (Whole)",FAQ,13/01/2025,2500,5000,4000,94
Karnataka,Kolar,Kolar,Beans,"Beans (Whole)",FAQ,14/01/2025,2500,5500,4500,94
Karnataka,Kolar,Kolar,Beans,"Beans (Whole)",FAQ,16/01/2025,2500,5000,4000,94
Karnataka,Kolar,Kolar,Beans,"Beans (Whole)",FAQ,30/01/2025,2000,4000,3200,94
Karnataka,Kolar,Malur,Beans,"Beans (Whole)",FAQ,01/01/2025,4500,5500,5045,94
Karnataka,Kolar,Malur,Beans,"Beans (Whole)",FAQ,08/01/2025,4500,5500,5000,94
Karnataka,Kolar,Malur,Beans,"Beans (Whole)",FAQ,10/01/2025,4500,5500,5140,94
Karnataka,Kolar,Malur,Beans,"Beans (Whole)",FAQ,15/01/2025,5500,6500,6100,94
Karnataka,Kolar,Malur,Beans,"Beans (Whole)","Ref grade-1",31/01/2025,2800,3500,3150,94
Karnataka,Kolar,Bangarpet,"Bunch Beans","Bunch Beans",FAQ,06/01/2025,1500,2000,1700,224
Karnataka,Kolar,Bangarpet,"Bunch Beans","Bunch Beans",FAQ,27/01/2025,1500,3000,2000,224
Karnataka,Kolar,Malur,"White Pumpkin","White Pumpkin",FAQ,06/01/2025,300,600,500,158
Karnataka,Kolar,Bangarpet,Coconut,Grade-I,FAQ,01/01/2025,1500,2000,1700,138
Karnataka,Kolar,Bangarpet,Coconut,Grade-I,FAQ,04/01/2025,1500,2000,1700,138
Karnataka,Kolar,Bangarpet,Coconut,Grade-I,FAQ,06/01/2025,1500,2000,1700,138
Karnataka,Kolar,Chickkaballapura,Coconut,Grade-I,FAQ,01/01/2025,9000,18000,14000,138
Karnataka,Kolar,Gowribidanoor,"Bhindi(Ladies Finger)",Bhindi,FAQ,22/01/2025,1500,2500,2000,85
Karnataka,Kolar,Bangarpet,"Banana - Green","Banana - Green",FAQ,08/01/2025,2000,2200,2100,90
Karnataka,Kolar,Bangarpet,"Banana - Green","Banana - Green",FAQ,22/01/2025,1900,2000,1950,90
Karnataka,Kolar,Bangarpet,"Banana - Green","Banana - Green",FAQ,27/01/2025,1000,2000,1800,90
Karnataka,Kolar,Chickkaballapura,Chrysanthemum(Loose),Other,FAQ,05/01/2025,500,1000,700,231
Karnataka,Kolar,Bangarpet,Drumstick,Drumstick,FAQ,06/01/2025,8000,9000,8500,168
Karnataka,Kolar,Bangarpet,"Sweet Pumpkin","Sweet Pumpkin",FAQ,13/01/2025,900,1000,950,173
Karnataka,Kolar,Bangarpet,"Sweet Pumpkin","Sweet Pumpkin",FAQ,15/01/2025,900,1000,950,173
Karnataka,Kolar,Bangarpet,Carrot,Carrot,FAQ,03/01/2025,2000,3500,2500,153
Karnataka,Kolar,Bangarpet,Carrot,Carrot,FAQ,10/01/2025,2000,4000,3000,153
Karnataka,Kolar,Chickkaballapura,Carrot,Carrot,FAQ,27/01/2025,1500,2000,1800,153
Karnataka,Kolar,Kolar,Carrot,Carrot,FAQ,02/01/2025,2000,4000,3200,153
Karnataka,Kolar,Kolar,Carrot,Carrot,FAQ,22/01/2025,2000,3000,2600,153
Karnataka,Kolar,Kolar,Carrot,Carrot,FAQ,27/01/2025,2000,2400,2200,153
Karnataka,Kolar,Malur,Carrot,Carrot,FAQ,30/01/2025,1800,2200,2000,153
Karnataka,Kolar,Kolar,Beetroot,Beetroot,FAQ,15/01/2025,1500,3000,2300,157
Karnataka,Kolar,Kolar,Beetroot,Beetroot,FAQ,21/01/2025,2000,2200,2100,157
Karnataka,Kolar,Kolar,Beetroot,Beetroot,FAQ,29/01/2025,1200,1500,1300,157
Karnataka,Kolar,Kolar,Beetroot,Beetroot,FAQ,30/01/2025,1000,1200,1100,157
Karnataka,Kolar,Kolar,Thogrikai,Thogarikai,FAQ,14/01/2025,4000,6000,5200,170
Karnataka,Kolar,Chickkaballapura,Marigold(Calcutta),Other,FAQ,02/01/2025,100,300,200,235
Karnataka,Kolar,Chickkaballapura,Marigold(Calcutta),Other,FAQ,06/01/2025,100,200,120,235
Karnataka,Kolar,Chickkaballapura,Marigold(Calcutta),Other,FAQ,18/01/2025,100,200,150,235
Karnataka,Kolar,Chickkaballapura,Marigold(Calcutta),Other,FAQ,20/01/2025,100,250,200,235
Karnataka,Kolar,Chickkaballapura,Marigold(Calcutta),Other,FAQ,22/01/2025,50,100,80,235
Karnataka,Kolar,Chickkaballapura,Marigold(Calcutta),Other,FAQ,23/01/2025,100,150,100,235
Karnataka,Kolar,Chickkaballapura,Marigold(Calcutta),Other,FAQ,28/01/2025,50,120,80,235
Karnataka,Kolar,Kolar,"Chapparad Avare","Chapparada Avarekai",FAQ,03/01/2025,2000,4000,3300,169
Karnataka,Kolar,Kolar,"Chapparad Avare","Chapparada Avarekai",FAQ,12/01/2025,2000,4000,3200,169
Karnataka,Kolar,Kolar,"Chapparad Avare","Chapparada Avarekai",FAQ,22/01/2025,2500,4000,3200,169
Karnataka,Kolar,Bangarpet,Capsicum,Capsicum,FAQ,30/01/2025,1000,2000,1500,164
Karnataka,Kolar,Chickkaballapura,Capsicum,Capsicum,FAQ,17/01/2025,2000,3500,2500,164
Karnataka,Kolar,Chickkaballapura,Capsicum,Capsicum,FAQ,22/01/2025,2000,3000,2500,164
Karnataka,Kolar,Chickkaballapura,Capsicum,Capsicum,FAQ,24/01/2025,2000,2500,2300,164
Karnataka,Kolar,Chickkaballapura,Capsicum,Capsicum,FAQ,28/01/2025,2600,3000,2800,164
Karnataka,Kolar,Chintamani,Capsicum,Capsicum,FAQ,04/01/2025,2000,3000,2500,164
Karnataka,Kolar,Kolar,Capsicum,Capsicum,FAQ,02/01/2025,2500,4500,3800,164
Karnataka,Kolar,Kolar,Capsicum,Capsicum,FAQ,13/01/2025,2500,3500,3000,164
Karnataka,Kolar,Kolar,Capsicum,Capsicum,FAQ,16/01/2025,2500,4000,3200,164
Karnataka,Kolar,Kolar,Capsicum,Capsicum,FAQ,20/01/2025,1500,4000,3200,164
Karnataka,Kolar,Bangarpet,Cabbage,Cabbage,FAQ,03/01/2025,900,1000,950,154
Karnataka,Kolar,Bangarpet,Cabbage,Cabbage,FAQ,04/01/2025,1000,1200,1100,154
Karnataka,Kolar,Bangarpet,Cabbage,Cabbage,FAQ,09/01/2025,900,1000,950,154
Karnataka,Kolar,Bangarpet,Cabbage,Cabbage,FAQ,13/01/2025,900,1000,950,154
Karnataka,Kolar,Bangarpet,Cabbage,Cabbage,FAQ,14/01/2025,900,1000,950,154
Karnataka,Kolar,Bangarpet,Cabbage,Cabbage,FAQ,27/01/2025,700,800,750,154
Karnataka,Kolar,Chickkaballapura,Cabbage,Cabbage,FAQ,03/01/2025,600,800,700,154
Karnataka,Kolar,Chickkaballapura,Cabbage,Cabbage,FAQ,17/01/2025,500,600,550,154
Karnataka,Kolar,Chickkaballapura,Cabbage,Cabbage,FAQ,18/01/2025,500,600,550,154
Karnataka,Kolar,Chickkaballapura,Cabbage,Cabbage,FAQ,22/01/2025,400,500,450,154
Karnataka,Kolar,Chickkaballapura,Cabbage,Cabbage,FAQ,24/01/2025,400,500,450,154
Karnataka,Kolar,Gowribidanoor,Cabbage,Cabbage,FAQ,10/01/2025,600,800,700,154
Karnataka,Kolar,Kolar,Cabbage,Cabbage,FAQ,03/01/2025,1000,1200,1100,154
Karnataka,Kolar,Kolar,Cabbage,Cabbage,FAQ,06/01/2025,1000,1200,1100,154
Karnataka,Kolar,Kolar,Cabbage,Cabbage,FAQ,10/01/2025,1000,1200,1100,154
Karnataka,Kolar,Kolar,Cabbage,Cabbage,FAQ,20/01/2025,800,1000,900,154
Karnataka,Kolar,Kolar,Cabbage,Cabbage,FAQ,21/01/2025,600,1000,800,154
Karnataka,Kolar,Kolar,Cabbage,Cabbage,FAQ,28/01/2025,300,400,350,154
Karnataka,Kolar,Kolar,Cabbage,Cabbage,"Ref grade-1",31/01/2025,300,400,350,154
Karnataka,Kolar,Malur,Cabbage,Cabbage,FAQ,28/01/2025,200,300,225,154
Karnataka,Kolar,Malur,Arecanut(Betelnut/Supari),Red,FAQ,23/01/2025,17000,25000,18000,140
Karnataka,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,07/01/2025,400,1600,1000,78
Karnataka,Kolar,Chickkaballapura,Tomato,Tomato,"Ref grade-1",31/01/2025,400,1920,1150,78
Karnataka,Kolar,Chintamani,Tomato,Tomato,FAQ,06/01/2025,260,1000,530,78
Karnataka,Kolar,Chintamani,Tomato,Tomato,FAQ,29/01/2025,260,1330,730,78
Karnataka,Kolar,Gowribidanoor,Tomato,Tomato,FAQ,10/01/2025,800,1000,900,78
Karnataka,Kolar,Gowribidanoor,Tomato,Tomato,FAQ,22/01/2025,800,1000,900,78
Karnataka,Kolar,Kolar,Tomato,Tomato,FAQ,13/01/2025,300,800,460,78
Karnataka,Kolar,Malur,Tomato,Tomato,FAQ,06/01/2025,500,800,600,78
Karnataka,Kolar,Malur,Tomato,Tomato,FAQ,18/01/2025,600,800,750,78
Karnataka,Kolar,Malur,Tomato,Tomato,FAQ,29/01/2025,500,800,600,78
Karnataka,Kolar,Srinivasapur,Tomato,Tomato,FAQ,02/01/2025,466,933,533,78
Karnataka,Kolar,Bangarpet,"Green Chilli","Green Chilly",FAQ,17/01/2025,1000,2000,1600,87
Karnataka,Kolar,Bangarpet,"Green Chilli","Green Chilly",FAQ,30/01/2025,3000,5000,3500,87
Karnataka,Kolar,Chickkaballapura,"Green Chilli","Green Chilly",FAQ,04/01/2025,4000,4500,4200,87
Karnataka,Kolar,Gowribidanoor,"Green Chilli","Green Chilly",FAQ,17/01/2025,4000,6000,5000,87
Karnataka,Kolar,Kolar,"Green Chilli","Green Chilly",FAQ,19/01/2025,3500,5000,4200,87
Karnataka,Kolar,Kolar,"Green Chilli","Green Chilly",FAQ,20/01/2025,3500,5000,4200,87
Karnataka,Kolar,Bangarpet,Ginger(Green),"Green Ginger",FAQ,23/01/2025,3500,5000,4000,103
Karnataka,Kolar,Bangarpet,Ginger(Green),"Green Ginger",FAQ,30/01/2025,1500,3000,2000,103
Karnataka,Kolar,Bangarpet,Ginger(Green),"Green Ginger","Ref grade-1",31/01/2025,4000,5000,4500,103
Karnataka,Kolar,Kolar,Ginger(Green),"Green Ginger",FAQ,19/01/2025,2000,3000,2400,103
Karnataka,Kolar,Bangarpet,"Green Chilli","Green Chilly",FAQ,07/01/2025,2000,3500,2500,87
Karnataka,Kolar,Bangarpet,"Green Chilli","Green Chilly",FAQ,11/01/2025,2000,3500,2800,87
Karnataka,Kolar,Chickkaballapura,"Green Chilli","Green Chilly",FAQ,05/01/2025,4000,5000,4500,87
Karnataka,Kolar,Chickkaballapura,"Green Chilli","Green Chilly",FAQ,27/01/2025,3000,4000,3500,87
Karnataka,Kolar,Chintamani,"Green Chilli","Green Chilly",FAQ,09/01/2025,2500,4000,3000,87
Karnataka,Kolar,Gowribidanoor,"Green Chilli","Green Chilly",FAQ,03/01/2025,3000,4000,3500,87
Karnataka,Kolar,Bangarpet,"Green Chilli","Green Chilly",FAQ,29/01/2025,1500,2600,2100,87
Karnataka,Kolar,Chickkaballapura,"Green Chilli","Green Chilly",FAQ,24/01/2025,3800,4000,3900,87
Karnataka,Kolar,Chintamani,"Green Chilli","Green Chilly",FAQ,28/01/2025,2000,3500,2500,87
