State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Koppal,Koppal,"Kulthi(Horse Gram)","Horse gram (Whole)",FAQ,27/02/2025,2500,4009,3474,114
Karnataka,Koppal,Kustagi,"Kulthi(Horse Gram)","Horse gram (Whole)",FAQ,12/02/2025,4200,4200,4200,114
Karnataka,Koppal,Kustagi,"Kulthi(Horse Gram)","Horse gram (Whole)",FAQ,17/02/2025,4170,4170,4170,114
Karnataka,Koppal,Yalburga,"Kulthi(Horse Gram)","Horse gram (Whole)",FAQ,18/02/2025,4032,4032,4032,114
Karnataka,Koppal,Kustagi,Cotton,Other,FAQ,02/01/2025,6800,6800,6800,15
Karnataka,Koppal,Koppal,Paddy(Dhan)(Common),Paddy,FAQ,16/01/2025,2113,2422,2268,2
Karnataka,Koppal,Gangavathi,"Bajra(Pearl Millet/Cumbu)",Local,"Ref grade-1",30/01/2025,2250,2250,2250,28
Karnataka,Koppal,Kustagi,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,07/01/2025,2235,2300,2265,28
Karnataka,Koppal,Kustagi,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,15/01/2025,2250,2250,2250,28
Karnataka,Koppal,Kustagi,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,16/01/2025,2250,2400,2316,28
Karnataka,Koppal,Kustagi,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,19/01/2025,2225,2225,2225,28
Karnataka,Koppal,Kustagi,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,29/01/2025,2250,2250,2250,28
Karnataka,Koppal,Koppal,Paddy(Dhan)(Common),Paddy,FAQ,19/01/2025,2548,2548,2548,2
Karnataka,Koppal,Gangavathi,Maize,Local,FAQ,29/01/2025,2735,2750,2745,4
Karnataka,Koppal,Koppal,Maize,Yellow,FAQ,16/01/2025,2262,2279,2271,4
Karnataka,Koppal,Kustagi,Maize,Hybrid/Local,FAQ,27/01/2025,2330,2370,2341,4
Karnataka,Koppal,Yalburga,Maize,Hybrid/Local,FAQ,27/01/2025,2250,2250,2250,4
Karnataka,Koppal,Koppal,"Kulthi(Horse Gram)","Horse gram (Whole)",FAQ,17/01/2025,3050,4079,3804,114
Karnataka,Koppal,Kustagi,"Kulthi(Horse Gram)","Horse gram (Whole)",FAQ,06/01/2025,4600,4600,4600,114
Karnataka,Koppal,Kustagi,"Kulthi(Horse Gram)","Horse gram (Whole)",FAQ,21/01/2025,4200,5600,4400,114
Karnataka,Koppal,Kustagi,"Kulthi(Horse Gram)","Horse gram (Whole)",FAQ,23/01/2025,4300,4600,4350,114
