State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Madikeri(Kodagu),Madikeri,"Banana - Green","Banana - Green","Ref grade-1",06/02/2025,40000,40000,40000,90
Karnataka,Madikeri(Kodagu),Madikeri,Arecanut(Betelnut/Supari),Pylone,FAQ,12/02/2025,4300,4300,4300,140
Karnataka,Madikeri(Kodagu),Madikeri,Paddy(Dhan)(Common),Paddy,FAQ,08/01/2025,2500,2500,2500,2
Karnataka,Madikeri(Kodagu),Gonikappal,Paddy(Dhan)(Common),"Paddy Medium",FAQ,28/01/2025,2100,2300,2100,2
Karnataka,Madikeri(Kodagu),Somvarpet,Paddy(Dhan)(Common),"Paddy Dappa",FAQ,15/01/2025,2300,2300,2300,2
Karnataka,Madikeri(Kodagu),Somvarpet,Paddy(Dhan)(Common),"Paddy Dappa",FAQ,03/01/2025,2300,2300,2300,2
Karnataka,Madikeri(Kodagu),Somvarpet,Maize,Local,FAQ,21/01/2025,2000,2000,2000,4
Karnataka,Madikeri(Kodagu),Somvarpet,"Sweet Potato","Sweet Potato",FAQ,01/01/2025,3330,3330,3330,152
Karnataka,Madikeri(Kodagu),Somvarpet,"Sweet Potato","Sweet Potato",FAQ,15/01/2025,3330,3330,3330,152
Karnataka,Madikeri(Kodagu),Somvarpet,Ginger(Green),"Green Ginger",FAQ,13/01/2025,1333,1875,1875,103
Karnataka,Madikeri(Kodagu),Somvarpet,Ginger(Green),"Green Ginger",FAQ,20/01/2025,1333,1875,1875,103
Karnataka,Madikeri(Kodagu),Somvarpet,Ginger(Green),"Green Ginger",FAQ,29/01/2025,1333,1333,1333,103
Karnataka,Madikeri(Kodagu),Gonikappal,"Black pepper",Malabar,FAQ,30/01/2025,30000,63587,30000,38
Karnataka,Madikeri(Kodagu),Madikeri,"Black pepper",Malabar,FAQ,04/01/2025,30000,40000,30046,38
Karnataka,Madikeri(Kodagu),Madikeri,"Black pepper",Malabar,FAQ,09/01/2025,30000,30000,30000,38
Karnataka,Madikeri(Kodagu),Madikeri,"Black pepper",Malabar,FAQ,10/01/2025,23000,40000,30000,38
Karnataka,Madikeri(Kodagu),Madikeri,"Black pepper",Malabar,FAQ,15/01/2025,30000,49259,34705,38
Karnataka,Madikeri(Kodagu),Madikeri,"Black pepper",Malabar,FAQ,16/01/2025,61425,61425,61425,38
Karnataka,Madikeri(Kodagu),Madikeri,"Black pepper",Malabar,FAQ,17/01/2025,30000,30027,30000,38
Karnataka,Madikeri(Kodagu),Somvarpet,"Black pepper",Malabar,FAQ,21/01/2025,35000,65000,64979,38
Karnataka,Madikeri(Kodagu),Somvarpet,"Black pepper",Malabar,FAQ,22/01/2025,50000,60000,50000,38
Karnataka,Madikeri(Kodagu),Somvarpet,"Black pepper",Malabar,FAQ,30/01/2025,35086,35185,35086,38
Karnataka,Madikeri(Kodagu),Gonikappal,Arecanut(Betelnut/Supari),Pylone,FAQ,28/01/2025,3600,5200,4000,140
Karnataka,Madikeri(Kodagu),Madikeri,Arecanut(Betelnut/Supari),Pylone,FAQ,16/01/2025,4000,4300,4200,140
Karnataka,Madikeri(Kodagu),Madikeri,Arecanut(Betelnut/Supari),Pylone,"Ref grade-1",31/01/2025,4300,4300,4300,140
Karnataka,Madikeri(Kodagu),Somvarpet,Ginger(Green),"Green Ginger",FAQ,01/01/2025,1333,1875,1875,103
Karnataka,Madikeri(Kodagu),Somvarpet,Ginger(Green),"Green Ginger",FAQ,18/01/2025,1333,1875,1875,103
Karnataka,Madikeri(Kodagu),Somvarpet,Ginger(Green),"Green Ginger",FAQ,23/01/2025,1666,1875,1875,103
Karnataka,Madikeri(Kodagu),Somvarpet,Ginger(Green),"Green Ginger","Ref grade-1",31/01/2025,1333,1875,1875,103
Karnataka,Madikeri(Kodagu),Gonikappal,Maize,Local,"Ref grade-1",04/02/2025,2200,2200,2200,4
Karnataka,Madikeri(Kodagu),Madikeri,"Black pepper",Malabar,FAQ,12/02/2025,30038,30038,30038,38
Karnataka,Madikeri(Kodagu),Gonikappal,"Black pepper",Malabar,FAQ,13/02/2025,30000,65489,30000,38
Karnataka,Madikeri(Kodagu),Somvarpet,"Black pepper",Malabar,"Ref grade-1",04/02/2025,54808,54808,54808,38
Karnataka,Madikeri(Kodagu),Somvarpet,Paddy(Dhan)(Common),"Paddy Dappa","Ref grade-1",06/02/2025,2300,2300,2300,2
Karnataka,Madikeri(Kodagu),Somvarpet,"Sweet Potato","Sweet Potato",FAQ,14/03/2025,1457,1457,1457,152
Karnataka,Madikeri(Kodagu),Madikeri,"Black pepper",Malabar,FAQ,08/04/2025,30000,40000,35000,38
Karnataka,Madikeri(Kodagu),Somvarpet,"Black pepper",Malabar,FAQ,19/04/2025,35000,64500,40000,38
Karnataka,Madikeri(Kodagu),Somvarpet,"Black pepper",Malabar,FAQ,23/04/2025,35051,71960,48000,38
Karnataka,Madikeri(Kodagu),Somvarpet,Ginger(Green),"Green Ginger",FAQ,25/04/2025,1666,3333,1666,103
Karnataka,Madikeri(Kodagu),Madikeri,Arecanut(Betelnut/Supari),Raw,FAQ,16/04/2025,25000,41142,25000,140
Karnataka,Madikeri(Kodagu),Gonikappal,"Black pepper",Malabar,FAQ,12/03/2025,33800,47000,43000,38
Karnataka,Madikeri(Kodagu),Somvarpet,"Black pepper",Malabar,FAQ,15/03/2025,35000,71000,63720,38
Karnataka,Madikeri(Kodagu),Somvarpet,"Black pepper",Malabar,FAQ,26/03/2025,6500,65000,65000,38
Karnataka,Madikeri(Kodagu),Somvarpet,"Black pepper",Malabar,FAQ,28/03/2025,50000,50000,50000,38
Karnataka,Madikeri(Kodagu),Madikeri,"Black pepper",Malabar,FAQ,14/05/2025,66500,66500,66500,38
Karnataka,Madikeri(Kodagu),Somvarpet,"Black pepper",Malabar,FAQ,23/05/2025,35000,67419,35000,38
Karnataka,Madikeri(Kodagu),Somvarpet,Rice,"Coarse (I.R.20)",FAQ,05/05/2025,2800,2800,2800,3
Karnataka,Madikeri(Kodagu),Somvarpet,Rice,"Coarse (I.R.20)",FAQ,16/05/2025,2800,5200,2800,3
Karnataka,Madikeri(Kodagu),Somvarpet,Rice,"Coarse (I.R.20)",FAQ,30/05/2025,2800,2800,2800,3
Karnataka,Madikeri(Kodagu),Somvarpet,Rice,"Coarse (I.R.20)",FAQ,12/06/2025,2800,2800,2800,3
Karnataka,Madikeri(Kodagu),Somvarpet,Rice,"Coarse (I.R.20)",Local,09/07/2025,2800,3200,3200,3
Karnataka,Madikeri(Kodagu),Somvarpet,Rice,"Sarbati Raw","Ref grade-1",02/07/2025,2800,3300,2800,3
Karnataka,Madikeri(Kodagu),Gonikappal,"Black pepper",Malabar,FAQ,24/06/2025,41000,45000,41000,38
Karnataka,Madikeri(Kodagu),Gonikappal,"Black pepper",Malabar,Local,05/07/2025,40000,65204,45002,38
Karnataka,Madikeri(Kodagu),Madikeri,"Black pepper",Malabar,FAQ,18/06/2025,35075,40000,35075,38
