State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Mandya,"K.R. Pet",Coconut,Grade-I,FAQ,24/02/2025,27000,27000,27000,138
Karnataka,Mandya,"K.R. Pet",Tomato,Tomato,FAQ,23/02/2025,1000,1000,1000,78
Karnataka,Mandya,"K.R. Pet",Copra,Copra,FAQ,12/02/2025,13800,13800,13800,129
Karnataka,Mandya,"K.R. Pet",Copra,Copra,"Ref grade-1",03/02/2025,16190,16190,16190,129
Karnataka,Mandya,Nagamangala,Copra,Medium,FAQ,14/02/2025,13800,14300,14200,129
Karnataka,Mandya,Nagamangala,Copra,Medium,FAQ,18/02/2025,14000,14200,14200,129
Karnataka,Mandya,Nagamangala,Copra,Medium,FAQ,21/02/2025,14000,14000,14000,129
Karnataka,Mandya,Nagamangala,Copra,Medium,FAQ,26/02/2025,15000,15000,15000,129
Karnataka,Mandya,Nagamangala,Copra,other,FAQ,11/02/2025,11600,13000,13000,129
Karnataka,Mandya,"K.R. Pet",Tomato,Tomato,FAQ,25/02/2025,1000,1000,1000,78
Karnataka,Mandya,Nagamangala,"Kulthi(Horse Gram)","Horse gram (Whole)","Ref grade-1",03/02/2025,4500,4500,4500,114
Karnataka,Mandya,"K.R. Pet","Tender Coconut","Tender Coconut","Ref grade-1",05/02/2025,8000,40000,15000,200
Karnataka,Mandya,"K.R. Pet",Arecanut(Betelnut/Supari),Sippegotu,FAQ,09/02/2025,10000,10000,10000,140
Karnataka,Mandya,"K.R. Pet",Arecanut(Betelnut/Supari),Sippegotu,FAQ,14/02/2025,10000,10300,10000,140
Karnataka,Mandya,"K.R. Pet",Arecanut(Betelnut/Supari),Sippegotu,FAQ,22/02/2025,10000,10000,10000,140
Karnataka,Mandya,"K.R. Pet",Paddy(Dhan)(Common),"Paddy Coarse",FAQ,03/01/2025,2000,2100,2000,2
Karnataka,Mandya,"K.R. Pet",Paddy(Dhan)(Common),"Paddy Coarse",FAQ,07/01/2025,2000,2300,2000,2
Karnataka,Mandya,"K.R. Pet",Paddy(Dhan)(Common),"Paddy Coarse",FAQ,24/01/2025,2100,2100,2100,2
