State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Mysore,"Mysore (Bandipalya)",Ashgourd,Ashgourd,FAQ,08/01/2025,14,16,15,83
Karnataka,Mysore,"Mysore (Bandipalya)",Ashgourd,Ashgourd,FAQ,20/01/2025,14,16,15,83
Karnataka,Mysore,"Mysore (Bandipalya)",Ashgourd,Ashgourd,FAQ,28/01/2025,13,15,14,83
Karnataka,Mysore,"Mysore (Bandipalya)",Ashgourd,Ashgourd,FAQ,29/01/2025,13,15,14,83
Karnataka,Mysore,"Mysore (Bandipalya)",Ashgourd,Ashgourd,"Ref grade-1",31/01/2025,13,15,14,83
Karnataka,Mysore,Nanjangud,Ashgourd,Ashgourd,FAQ,06/01/2025,2083,2564,2380,83
Karnataka,Mysore,Nanjangud,Ashgourd,Ashgourd,FAQ,08/01/2025,2083,3030,2777,83
Karnataka,Mysore,Nanjangud,Ashgourd,Ashgourd,FAQ,13/01/2025,2222,2777,2380,83
Karnataka,Mysore,Nanjangud,Ashgourd,Ashgourd,FAQ,17/01/2025,2083,2564,2380,83
Karnataka,Mysore,Nanjangud,Ashgourd,Ashgourd,FAQ,21/01/2025,2380,3030,2777,83
Karnataka,Mysore,"Mysore (Bandipalya)","Corriander seed","Coriander Seed",FAQ,17/01/2025,9000,12000,11300,108
Karnataka,Mysore,"Mysore (Bandipalya)",Tomato,Tomato,FAQ,15/01/2025,1000,1200,1100,78
Karnataka,Mysore,"Mysore (Bandipalya)",Tomato,Tomato,FAQ,29/01/2025,1200,1400,1300,78
Karnataka,Mysore,"Mysore (Bandipalya)",Tomato,Tomato,"Ref grade-1",31/01/2025,1600,1800,1700,78
Karnataka,Mysore,Nanjangud,Tomato,Tomato,FAQ,10/01/2025,1010,1190,1111,78
Karnataka,Mysore,Santhesargur,Tomato,Tomato,FAQ,03/01/2025,1383,1383,1383,78
Karnataka,Mysore,Santhesargur,Tomato,Tomato,FAQ,09/01/2025,1383,1383,1383,78
Karnataka,Mysore,Santhesargur,Tomato,Tomato,FAQ,13/01/2025,1383,1383,1383,78
Karnataka,Mysore,Santhesargur,Tomato,Tomato,FAQ,18/01/2025,1383,1383,1383,78
Karnataka,Mysore,"Mysore (Bandipalya)",Beans,"Beans (Whole)",FAQ,03/01/2025,5500,6000,5800,94
Karnataka,Mysore,"Mysore (Bandipalya)",Beans,"Beans (Whole)",FAQ,19/01/2025,2300,2500,2400,94
Karnataka,Mysore,"Mysore (Bandipalya)",Beans,"Beans (Whole)",FAQ,28/01/2025,3200,4500,4000,94
Karnataka,Mysore,"Mysore (Bandipalya)",Beans,"Beans (Whole)",FAQ,30/01/2025,3500,4500,4000,94
Karnataka,Mysore,Nanjangud,Beans,"Beans (Whole)",FAQ,06/01/2025,3333,4167,3703,94
Karnataka,Mysore,Santhesargur,"White Pumpkin","White Pumpkin",FAQ,16/01/2025,1383,1383,1383,158
Karnataka,Mysore,"Mysore (Bandipalya)",Coconut,Grade-I,"Ref grade-1",31/01/2025,30000,30000,30000,138
Karnataka,Mysore,"Mysore (Bandipalya)","Sweet Potato","Sweet Potato",FAQ,02/01/2025,3300,3500,3400,152
Karnataka,Mysore,"Mysore (Bandipalya)","Sweet Potato","Sweet Potato",FAQ,08/01/2025,2600,2800,2700,152
Karnataka,Mysore,"Mysore (Bandipalya)","Sweet Potato","Sweet Potato",FAQ,09/01/2025,2600,2800,2700,152
Karnataka,Mysore,"Mysore (Bandipalya)","Sweet Potato","Sweet Potato","Ref grade-1",31/01/2025,2600,2800,2700,152
Karnataka,Mysore,"Mysore (Bandipalya)",Pomegranate,Pomogranate,"Ref grade-1",31/01/2025,13600,13700,13600,190
Karnataka,Mysore,Nanjangud,Ox,Ox,FAQ,17/01/2025,40000,80000,60000,213
Karnataka,Mysore,"Mysore (Bandipalya)","Bhindi(Ladies Finger)",Bhindi,FAQ,09/01/2025,2600,2800,2700,85
Karnataka,Mysore,"Mysore (Bandipalya)","Bhindi(Ladies Finger)",Bhindi,FAQ,20/01/2025,1100,1300,1200,85
Karnataka,Mysore,"Mysore (Bandipalya)","Bhindi(Ladies Finger)",Bhindi,FAQ,29/01/2025,2400,2600,2500,85
Karnataka,Mysore,Nanjangud,"Bhindi(Ladies Finger)",Bhindi,FAQ,08/01/2025,2380,3030,2777,85
Karnataka,Mysore,Santhesargur,"Banana - Green","Banana - Green",FAQ,21/01/2025,2500,2500,2500,90
Karnataka,Mysore,Santhesargur,"Banana - Green","Banana - Green",FAQ,29/01/2025,2500,2500,2500,90
Karnataka,Mysore,"Mysore (Bandipalya)","Bengal Gram Dal (Chana Dal)","Bengal Gram Dal",FAQ,17/01/2025,7900,8800,8000,263
Karnataka,Mysore,"Mysore (Bandipalya)","Green Gram Dal (Moong Dal)","Green Gram Dal",FAQ,17/01/2025,10000,10600,10400,265
Karnataka,Mysore,"Mysore (Bandipalya)","Arhar Dal(Tur Dal)","Arhar Dal(Tur)",FAQ,24/01/2025,13000,14500,13800,260
Karnataka,Mysore,"Mysore (Bandipalya)","Arhar Dal(Tur Dal)","Arhar Dal(Tur)",FAQ,25/01/2025,13000,15000,14800,260
Karnataka,Mysore,"Mysore (Bandipalya)","Tamarind Fruit","Tamarind Fruit",FAQ,25/01/2025,8300,15100,11162,261
Karnataka,Mysore,"Mysore (Bandipalya)","Tamarind Fruit","Tamarind Fruit",FAQ,28/01/2025,3930,15200,9767,261
Karnataka,Mysore,"Mysore (Bandipalya)","Black Gram Dal (Urd Dal)","Black Gram Dal",FAQ,02/01/2025,10500,12800,12000,264
Karnataka,Mysore,"Mysore (Bandipalya)","Black Gram Dal (Urd Dal)","Black Gram Dal",FAQ,29/01/2025,12000,12000,12000,264
