State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Raichur,Sindhanur,"Foxtail Millet(Navane)","Navane Hybrid","Ref grade-1",04/02/2025,2200,2300,2250,121
Karnataka,Raichur,Sindhanur,"Dry Chillies",Guntur,FAQ,13/02/2025,7000,16000,12500,132
Karnataka,Raichur,Sindhanur,"Dry Chillies",Local,FAQ,20/02/2025,2000,5000,3000,132
Karnataka,Raichur,Sindhanur,"Dry Chillies",Local,FAQ,26/02/2025,1700,5600,4700,132
Karnataka,Raichur,Raichur,Cotton,F-1054,FAQ,09/01/2025,6320,7751,7350,15
Karnataka,Raichur,Raichur,Cotton,F-1054,FAQ,11/01/2025,6600,7650,7337,15
Karnataka,Raichur,Raichur,Cotton,F-1054,FAQ,15/01/2025,6200,7688,7296,15
Karnataka,Raichur,Raichur,Cotton,F-1054,FAQ,16/01/2025,6500,7600,7200,15
Karnataka,Raichur,Raichur,Cotton,F-1054,FAQ,27/01/2025,6400,7810,7300,15
Karnataka,Raichur,Raichur,Cotton,F-1054,"Ref grade-1",31/01/2025,6125,7711,7100,15
Karnataka,Raichur,Sindhanur,Cotton,LH-1556,FAQ,03/01/2025,6800,7421,7421,15
Karnataka,Raichur,Sindhanur,Cotton,LH-1556,FAQ,09/01/2025,6200,7300,7300,15
Karnataka,Raichur,Sindhanur,Cotton,LH-1556,FAQ,23/01/2025,6500,7175,7175,15
Karnataka,Raichur,Lingasugur,Paddy(Dhan)(Common),Sona,FAQ,23/01/2025,1955,2380,2000,2
Karnataka,Raichur,Lingasugur,Paddy(Dhan)(Common),Sona,FAQ,25/01/2025,2190,2350,2200,2
Karnataka,Raichur,Raichur,Paddy(Dhan)(Common),"Sona Mahsuri",FAQ,15/01/2025,2200,2521,2521,2
Karnataka,Raichur,Lingasugur,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,04/01/2025,2620,2680,2640,28
Karnataka,Raichur,Lingasugur,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,07/01/2025,2700,2750,2720,28
Karnataka,Raichur,Lingasugur,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,21/01/2025,2375,2600,2400,28
Karnataka,Raichur,Sindhanur,"Bajra(Pearl Millet/Cumbu)",Local,FAQ,04/01/2025,2500,2700,2700,28
Karnataka,Raichur,Sindhanur,"Bajra(Pearl Millet/Cumbu)",Local,FAQ,20/01/2025,2000,2125,2100,28
Karnataka,Raichur,Raichur,Cotton,F-1054,FAQ,03/01/2025,6070,7550,7165,15
Karnataka,Raichur,Lingasugur,Paddy(Dhan)(Common),Sona,FAQ,17/01/2025,2130,2170,2164,2
