State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Shimoga,Bhadravathi,"Corriander seed","Coriander Seed",FAQ,15/01/2025,9047,9047,9047,108
Karnataka,Shimoga,Shimoga,"Corriander seed","Coriander Seed",FAQ,03/01/2025,9200,11800,10500,108
Karnataka,Shimoga,Shimoga,"Corriander seed","Coriander Seed",FAQ,28/01/2025,9200,11800,10500,108
Karnataka,Shimoga,Shimoga,Tomato,Tomato,FAQ,23/01/2025,400,1200,800,78
Karnataka,Shimoga,Shimoga,Beans,"Beans (Whole)",FAQ,08/01/2025,6000,7000,6500,94
Karnataka,Shimoga,Shimoga,Beans,"Beans (Whole)",FAQ,28/01/2025,3000,5000,4000,94
Karnataka,Shimoga,Shimoga,Beans,"Beans (Whole)",FAQ,29/01/2025,2800,3000,2900,94
Karnataka,Shimoga,Shimoga,Arecanut(Betelnut/Supari),Bette,FAQ,29/01/2025,40366,56919,56689,140
Karnataka,Shimoga,Shimoga,Arecanut(Betelnut/Supari),Gorabalu,FAQ,09/01/2025,17099,32069,29599,140
Karnataka,Shimoga,Shimoga,Arecanut(Betelnut/Supari),Gorabalu,FAQ,16/01/2025,17009,33869,27399,140
Karnataka,Shimoga,Shimoga,Arecanut(Betelnut/Supari),Gorabalu,FAQ,21/01/2025,18011,32089,27502,140
Karnataka,Shimoga,Shimoga,Arecanut(Betelnut/Supari),Gorabalu,FAQ,29/01/2025,18000,33089,25399,140
Karnataka,Shimoga,Shimoga,Arecanut(Betelnut/Supari),Rashi,FAQ,01/01/2025,35500,51099,49009,140
Karnataka,Shimoga,Shimoga,Arecanut(Betelnut/Supari),Rashi,FAQ,13/01/2025,30999,51569,50899,140
Karnataka,Shimoga,Shimogga(Theertahalli),Arecanut(Betelnut/Supari),Bette,FAQ,06/01/2025,26000,26000,26000,140
Karnataka,Shimoga,Shimogga(Theertahalli),Arecanut(Betelnut/Supari),EDI,FAQ,11/01/2025,30211,51735,49211,140
Karnataka,Shimoga,Shimogga(Theertahalli),Arecanut(Betelnut/Supari),Gorabalu,FAQ,20/01/2025,25000,25000,25000,140
Karnataka,Shimoga,Shimogga(Theertahalli),Arecanut(Betelnut/Supari),Rashi,FAQ,11/01/2025,31269,51735,49501,140
Karnataka,Shimoga,Shimogga(Theertahalli),Arecanut(Betelnut/Supari),Saraku,FAQ,18/01/2025,58009,85670,71212,140
Karnataka,Shimoga,Bhadravathi,Coconut,Grade-III,FAQ,23/01/2025,29185,29185,29185,138
Karnataka,Shimoga,Shimoga,"Bhindi(Ladies Finger)",Bhindi,FAQ,08/01/2025,2800,3000,2900,85
Karnataka,Shimoga,Shimoga,"Bhindi(Ladies Finger)",Bhindi,FAQ,23/01/2025,2800,3000,2900,85
Karnataka,Shimoga,Shimoga,Potato,Local,FAQ,15/01/2025,2500,4000,3300,24
Karnataka,Shimoga,Shimoga,"Methi Seeds",Methiseeds,FAQ,03/01/2025,7500,8800,8150,47
Karnataka,Shimoga,Shimoga,"Methi Seeds",Methiseeds,FAQ,24/01/2025,7200,8500,7850,47
Karnataka,Shimoga,Shimoga,"Methi Seeds",Methiseeds,"Ref grade-1",31/01/2025,7200,8500,7850,47
Karnataka,Shimoga,Bhadravathi,"Bengal Gram Dal (Chana Dal)","Bengal Gram Dal",FAQ,15/01/2025,7600,7600,7600,263
