State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Tumkur,Sira,Coconut,Grade-III,FAQ,12/02/2025,17000,17000,17000,138
Karnataka,Tumkur,Madhugiri,"Tamarind Seed","Tamarind Seed",FAQ,15/02/2025,1800,2800,2000,208
Karnataka,Tumkur,Tumkur,"Tamarind Seed","Tamarind Seed",FAQ,27/02/2025,2300,2900,2480,208
Karnataka,Tumkur,Huliyar,Copra,Ball,FAQ,17/02/2025,14000,14100,14095,129
Karnataka,Tumkur,Huliyar,Copra,Ball,FAQ,18/02/2025,13700,14000,13711,129
Karnataka,Tumkur,Huliyar,Copra,Ball,FAQ,20/02/2025,14600,14620,14610,129
Karnataka,Tumkur,Huliyar,Copra,Ball,FAQ,24/02/2025,14200,14600,14288,129
Karnataka,Tumkur,Huliyar,Copra,other,FAQ,20/02/2025,9500,9700,9600,129
Karnataka,Tumkur,Huliyar,Copra,Small,FAQ,19/02/2025,12000,14000,13000,129
Karnataka,Tumkur,Huliyar,Copra,Small,FAQ,24/02/2025,12000,12500,12000,129
Karnataka,Tumkur,Madhugiri,Copra,Copra,FAQ,15/02/2025,10000,14200,14000,129
Karnataka,Tumkur,Tiptur,Copra,other,FAQ,06/02/2025,7000,17800,10500,129
Karnataka,Tumkur,Tiptur,Copra,other,FAQ,18/02/2025,8500,15000,13000,129
Karnataka,Tumkur,Tiptur,Copra,other,FAQ,20/02/2025,7500,16000,11500,129
Karnataka,Tumkur,Tiptur,Copra,other,FAQ,25/02/2025,6500,15500,10500,129
Karnataka,Tumkur,Tiptur,Copra,other,"Ref grade-1",03/02/2025,6800,14800,13000,129
Karnataka,Tumkur,Turvekere,Copra,Copra,FAQ,06/02/2025,13800,14500,14400,129
Karnataka,Tumkur,Turvekere,Copra,Copra,FAQ,12/02/2025,13800,14100,14000,129
Karnataka,Tumkur,Turvekere,Copra,Copra,FAQ,15/02/2025,13800,14000,13800,129
Karnataka,Tumkur,Turvekere,Copra,Copra,FAQ,21/02/2025,13800,14000,13800,129
Karnataka,Tumkur,Turvekere,Copra,Copra,FAQ,24/02/2025,13800,14700,14000,129
Karnataka,Tumkur,Turvekere,Copra,Copra,FAQ,28/02/2025,14000,14500,14000,129
Karnataka,Tumkur,Turvekere,Copra,other,FAQ,14/02/2025,10500,13300,11000,129
Karnataka,Tumkur,Turvekere,Copra,Small,FAQ,21/02/2025,9500,9600,9500,129
Karnataka,Tumkur,Tumkur,"Bengal Gram Dal (Chana Dal)","Bengal Gram Dal",FAQ,18/02/2025,5800,9500,7100,263
Karnataka,Tumkur,Sira,"Kulthi(Horse Gram)","Horse gram (Whole)",FAQ,27/02/2025,4000,4000,4000,114
Karnataka,Tumkur,Sira,"Arhar Dal(Tur Dal)","Arhar Dal(Tur)",FAQ,13/02/2025,9800,9800,9800,260
