State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Udupi,Udupi,"Mousambi(Sweet Lime)",Mousambi,"Ref grade-1",30/01/2025,3900,4000,4000,77
Karnataka,Udupi,Udupi,Tomato,Tomato,FAQ,04/01/2025,1900,2000,2000,78
Karnataka,Udupi,Udupi,Tomato,Tomato,FAQ,06/01/2025,1900,2000,2000,78
Karnataka,Udupi,Udupi,Tomato,Tomato,FAQ,16/01/2025,1200,1400,1300,78
Karnataka,Udupi,Udupi,Tomato,Tomato,"Ref grade-1",30/01/2025,1900,2000,2000,78
Karnataka,Udupi,Udupi,Beans,"Beans (Whole)",FAQ,10/01/2025,6000,6500,6200,94
Karnataka,Udupi,Udupi,Beans,"Beans (Whole)",FAQ,13/01/2025,6000,6500,6200,94
Karnataka,Udupi,Udupi,Beans,"Beans (Whole)",FAQ,16/01/2025,2700,2800,2800,94
Karnataka,Udupi,Udupi,Beans,"Beans (Whole)",FAQ,20/01/2025,2700,2800,2800,94
Karnataka,Udupi,Udupi,Coconut,Medium,FAQ,15/01/2025,18000,22000,20000,138
Karnataka,Udupi,Karkala,Arecanut(Betelnut/Supari),"New Variety",FAQ,16/01/2025,25000,36000,30000,140
Karnataka,Udupi,Karkala,Arecanut(Betelnut/Supari),"New Variety",FAQ,18/01/2025,25000,36000,30000,140
Karnataka,Udupi,Karkala,Arecanut(Betelnut/Supari),"New Variety",FAQ,28/01/2025,25000,36500,30000,140
Karnataka,Udupi,Kundapura,Arecanut(Betelnut/Supari),Ripe,FAQ,22/01/2025,33000,33500,33000,140
Karnataka,Udupi,Udupi,"Sweet Potato","Sweet Potato",FAQ,13/01/2025,2500,2800,2600,152
Karnataka,Udupi,Udupi,"Sweet Potato","Sweet Potato",FAQ,20/01/2025,2900,3000,3000,152
Karnataka,Udupi,Udupi,"Sweet Potato","Sweet Potato",FAQ,22/01/2025,3900,4000,4000,152
Karnataka,Udupi,Udupi,"Sweet Potato","Sweet Potato",FAQ,23/01/2025,3900,4000,4000,152
Karnataka,Udupi,Udupi,"Bhindi(Ladies Finger)",Bhindi,FAQ,01/01/2025,2900,3000,3000,85
Karnataka,Udupi,Udupi,"Bhindi(Ladies Finger)",Bhindi,FAQ,22/01/2025,2400,2500,2500,85
Karnataka,Udupi,Udupi,"Bhindi(Ladies Finger)",Bhindi,"Ref grade-1",31/01/2025,2900,3000,3000,85
Karnataka,Udupi,Udupi,Potato,Potato,FAQ,15/01/2025,2400,2600,2500,24
Karnataka,Udupi,Udupi,Potato,Potato,FAQ,28/01/2025,2400,2600,2500,24
Karnataka,Udupi,Udupi,Drumstick,Drumstick,FAQ,27/01/2025,8000,9000,8500,168
Karnataka,Udupi,Karkala,Arecanut(Betelnut/Supari),"New Variety",FAQ,02/01/2025,25000,35000,30000,140
Karnataka,Udupi,Karkala,Arecanut(Betelnut/Supari),"New Variety",FAQ,23/01/2025,25000,36000,30000,140
Karnataka,Udupi,Udupi,Carrot,Carrot,FAQ,01/01/2025,3900,4000,4000,153
Karnataka,Udupi,Udupi,Beetroot,Beetroot,FAQ,06/01/2025,4900,5000,5000,157
Karnataka,Udupi,Udupi,Beetroot,Beetroot,FAQ,23/01/2025,2400,2500,2500,157
Karnataka,Udupi,Udupi,Beetroot,Beetroot,FAQ,27/01/2025,2400,2500,2500,157
Karnataka,Udupi,Udupi,Beetroot,Beetroot,"Ref grade-1",31/01/2025,1500,1600,1600,157
Karnataka,Udupi,Udupi,Capsicum,Capsicum,FAQ,10/01/2025,5000,5500,5200,164
Karnataka,Udupi,Udupi,Capsicum,Capsicum,FAQ,27/01/2025,3900,4000,4000,164
Karnataka,Udupi,Udupi,Capsicum,Capsicum,"Ref grade-1",30/01/2025,4100,4200,4200,164
Karnataka,Udupi,Udupi,Cabbage,Cabbage,FAQ,02/01/2025,1300,1400,1400,154
Karnataka,Udupi,Udupi,Cabbage,Cabbage,FAQ,04/01/2025,1300,1400,1400,154
Karnataka,Udupi,Udupi,Snakeguard,Snakeguard,FAQ,02/01/2025,2400,2500,2500,156
Karnataka,Udupi,Udupi,Snakeguard,Snakeguard,FAQ,04/01/2025,2400,2500,2500,156
Karnataka,Udupi,Udupi,Snakeguard,Snakeguard,FAQ,06/01/2025,2400,2500,2500,156
Karnataka,Udupi,Udupi,Snakeguard,Snakeguard,FAQ,13/01/2025,2000,2500,2200,156
Karnataka,Udupi,Udupi,"Green Chilli","Green Chilly",FAQ,06/01/2025,2600,3000,2800,87
Karnataka,Udupi,Udupi,"Green Chilli","Green Chilly",FAQ,10/01/2025,4000,5000,4500,87
Karnataka,Udupi,Udupi,"Green Chilli","Green Chilly",FAQ,15/01/2025,3900,4000,4000,87
Karnataka,Udupi,Udupi,"Green Chilli","Green Chilly","Ref grade-1",30/01/2025,3900,4000,4000,87
Karnataka,Udupi,Udupi,"Green Chilli","Green Chilly","Ref grade-1",31/01/2025,3900,4000,4000,87
Karnataka,Udupi,Udupi,Potato,Potato,FAQ,02/01/2025,2500,2600,2600,24
Karnataka,Udupi,Udupi,Potato,Potato,FAQ,22/01/2025,2400,2600,2500,24
Karnataka,Udupi,Udupi,Raddish,Raddish,FAQ,04/01/2025,2400,2500,2500,161
Karnataka,Udupi,Udupi,Raddish,Raddish,FAQ,21/01/2025,1400,1500,1500,161
