State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)",FAQ,08/01/2025,5389,6299,5857,10
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)",FAQ,09/01/2025,4649,6369,5877,10
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)",FAQ,13/01/2025,4869,6309,5616,10
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)",FAQ,17/01/2025,5089,6409,5769,10
Karnataka,Yadgiri,Yadgir,"Green Gram (Moong)(Whole)","Green (Whole)",FAQ,01/01/2025,5200,7769,6023,9
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,14/02/2025,5551,7259,6880,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,15/02/2025,6409,7239,6862,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,22/02/2025,5011,7119,6559,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,28/02/2025,6501,7501,6793,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,FAQ,24/02/2025,6569,7659,6947,49
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)",FAQ,21/02/2025,5269,6529,5710,10
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)",FAQ,24/02/2025,4969,6462,5612,10
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)","Ref grade-1",03/02/2025,4789,5859,5125,10
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)","Ref grade-1",04/02/2025,4509,5875,5055,10
Karnataka,Yadgiri,Yadgir,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,06/02/2025,5809,6069,6018,6
Karnataka,Yadgiri,Yadgir,"Green Gram (Moong)(Whole)","Green (Whole)","Ref grade-1",03/02/2025,7000,8001,7111,9
Karnataka,Yadgiri,Yadgir,"Green Gram (Moong)(Whole)","Green (Whole)","Ref grade-1",04/02/2025,6801,7515,6943,9
Karnataka,Yadgiri,Yadgir,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,14/02/2025,6111,6155,6141,6
Karnataka,Yadgiri,Yadgir,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,17/02/2025,5869,6179,6027,6
Karnataka,Yadgiri,Yadgir,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,22/02/2025,5209,5929,5783,6
Karnataka,Yadgiri,Yadgir,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,24/02/2025,5369,5939,5738,6
Karnataka,Yadgiri,Yadgir,"Bengal Gram(Gram)(Whole)","Average (Whole)","Ref grade-1",03/02/2025,5909,6029,6009,6
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,17/01/2025,7281,8401,7704,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)","Ref grade-1",30/01/2025,6469,7631,6720,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,FAQ,16/01/2025,7011,7999,7168,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,10/01/2025,6089,8330,7685,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,21/01/2025,6969,8151,7365,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,FAQ,09/01/2025,6689,8442,7601,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,FAQ,22/01/2025,7011,8157,7358,49
